ID,DATE,N_FX_STAFF,N_MONITORS
2015_17,2015-04-15T00:00:00Z,1,NA
2015_18,2015-04-21T00:00:00Z,1,NA
2015_19,2015-04-23T00:00:00Z,1,NA
2015_20,2015-05-24T00:00:00Z,1,NA
2015_22,2015-05-19T00:00:00Z,1,NA
2015_23,2015-05-20T00:00:00Z,1,NA
2015_24,2015-05-21T00:00:00Z,2,NA
2015_26,2015-06-16T00:00:00Z,1,NA
2015_28,2015-06-18T00:00:00Z,1,NA
2015_29,2015-06-23T00:00:00Z,1,NA
2015_30,2015-06-24T00:00:00Z,1,NA
2015_31,2015-06-25T00:00:00Z,1,NA
2015_32,2015-06-26T00:00:00Z,1,NA
2015_33,2015-07-16T00:00:00Z,1,NA
2015_34,2015-07-22T00:00:00Z,1,NA
2015_35,2015-07-23T00:00:00Z,1,NA
2015_36,2015-08-06T00:00:00Z,1,NA
2015_38,2015-09-08T00:00:00Z,1,NA
2015_39,2015-09-17T00:00:00Z,1,NA
2015_41,2015-09-22T00:00:00Z,1,NA
2015_42,2015-09-23T00:00:00Z,1,NA
2015_43,2015-09-24T00:00:00Z,1,NA
2015_44,2015-09-29T00:00:00Z,1,NA
2015_45,2015-09-28T00:00:00Z,1,NA
2015_46,2015-10-14T00:00:00Z,1,NA
2015_47,2015-10-15T00:00:00Z,1,NA
2015_48,2015-10-15T00:00:00Z,1,NA
2015_50,2015-10-21T00:00:00Z,1,NA
2015_51,2015-10-23T00:00:00Z,1,NA
2015_52,2015-10-27T00:00:00Z,1,NA
2015_53,2015-12-02T00:00:00Z,1,NA
2015_54,2015-11-05T00:00:00Z,1,NA
2015_55,2015-11-11T00:00:00Z,1,NA
2015_56,2015-11-18T00:00:00Z,1,NA
2015_57,2015-11-19T00:00:00Z,1,NA
2015_58,2015-11-19T00:00:00Z,1,NA
2015_61,2015-11-26T00:00:00Z,1,NA
2015_62,2015-11-26T00:00:00Z,1,NA
2015_63,2015-12-10T00:00:00Z,1,NA
2015_64,2015-12-10T00:00:00Z,2,NA
2015_65,2015-12-15T00:00:00Z,1,NA
2015_66,2015-12-17T00:00:00Z,1,NA
2014_3,2014-01-21T00:00:00Z,1,NA
2014_4,2014-01-28T00:00:00Z,1,NA
2014_5,2014-02-04T00:00:00Z,1,NA
2014_8,2014-02-21T00:00:00Z,1,NA
2014_9,2014-02-25T00:00:00Z,1,NA
2014_10,2014-02-26T00:00:00Z,1,NA
2014_11,2014-03-17T00:00:00Z,1,NA
2014_12,2014-03-19T00:00:00Z,1,NA
2014_13,2014-03-21T00:00:00Z,1,NA
2014_14,2014-04-02T00:00:00Z,1,NA
2014_15,2014-04-15T00:00:00Z,1,NA
2014_16,2014-04-16T00:00:00Z,1,NA
2014_17,2014-04-29T00:00:00Z,1,NA
2014_18,2014-05-14T00:00:00Z,1,NA
2014_19,2014-05-27T00:00:00Z,1,NA
2014_20,2014-06-03T00:00:00Z,1,NA
2014_23,2014-06-25T00:00:00Z,1,NA
2014_24,2014-06-26T00:00:00Z,1,NA
2014_25,2014-07-08T00:00:00Z,1,NA
2014_26,2014-07-08T00:00:00Z,1,NA
2014_27,2014-07-10T00:00:00Z,1,NA
2014_28,2014-08-25T00:00:00Z,1,NA
2014_29,2014-09-15T00:00:00Z,1,NA
2014_30,2014-09-30T00:00:00Z,1,NA
2014_32,2014-10-21T00:00:00Z,1,NA
2014_33,2014-10-22T00:00:00Z,1,NA
2014_34,2014-10-28T00:00:00Z,1,NA
2014_35,2014-11-04T00:00:00Z,1,NA
2014_36,2014-11-05T00:00:00Z,1,NA
2014_37,2014-11-18T00:00:00Z,1,NA
2014_39,2014-11-26T00:00:00Z,1,NA
2014_40,2014-11-28T00:00:00Z,1,NA
2014_41,2014-12-02T00:00:00Z,1,NA
2014_42,2014-12-04T00:00:00Z,2,NA
2014_43,2014-12-10T00:00:00Z,1,NA
2013_1,2013-01-24T00:00:00Z,1,NA
2013_2,2013-01-30T00:00:00Z,1,NA
2013_3,2013-01-30T00:00:00Z,1,NA
2013_4,2013-02-07T00:00:00Z,1,NA
2013_5,2013-02-13T00:00:00Z,1,NA
2013_6,2013-02-14T00:00:00Z,1,NA
2013_7,2013-02-26T00:00:00Z,1,NA
2013_8,2013-03-05T00:00:00Z,4,NA
