ROID,MSNAME,DEST,N_RETURNEES,MSISO
RO-00936,Germany,Albania,31,DEU
RO-00936,Germany,Kosovo,25,DEU
RO-00960,Germany,Turkey,3,DEU
RO-00990,Germany,Benin,2,DEU
RO-00997,Italy,Tunisia,11,ITA
RO-01018,France,Albania,18,FRA
RO-01151,Germany,Albania,46,DEU
RO-01151,Germany,Kosovo,24,DEU
RO-01111,Germany,Russia,50,DEU
RO-01165,Germany,Azerbaijan,59,DEU
RO-00874,Austria,Georgia,7,AUT
RO-00874,Austria,Uzbekistan,6,AUT
RO-00874,Ireland,Georgia,8,IRL
RO-00888,Germany,Albania,49,DEU
RO-00888,Germany,Kosovo,17,DEU
RO-00902,Belgium,Albania,3,BEL
RO-00902,France,Albania,30,FRA
RO-00860,Austria,Armenia,3,AUT
RO-00860,Austria,Georgia,16,AUT
RO-00860,Germany,Armenia,6,DEU
RO-00998,Italy,Egypt,26,ITA
RO-00963,Germany,Russia,35,DEU
RO-00974,Austria,Nigeria,16,AUT
RO-00974,Bulgaria,Nigeria,2,BGR
RO-00974,Czech Republic,Nigeria,3,CZE
RO-00974,Finland,Nigeria,2,FIN
RO-00974,Germany,Nigeria,17,DEU
RO-00974,Luxembourg,Nigeria,1,LUX
RO-00974,Romania,Nigeria,2,ROU
RO-01028,Germany,Ukraine,36,DEU
RO-01094,Germany,Nigeria,20,DEU
RO-01139,Italy,Tunisia,25,ITA
RO-01156,Italy,Tunisia,35,ITA
RO-01164,Germany,Albania,33,DEU
RO-01164,Germany,Armenia,59,DEU
RO-01216,Belgium,Albania,5,BEL
RO-01216,France,Albania,43,FRA
RO-01245,Belgium,Nigeria,1,BEL
RO-01245,Italy,Nigeria,30,ITA
RO-00886,Germany,Tunisia,18,DEU
RO-00977,Belgium,Albania,5,BEL
RO-00977,Finland,Albania,5,FIN
RO-00977,France,Albania,29,FRA
RO-00982,Austria,Pakistan,6,AUT
RO-00982,Germany,Pakistan,33,DEU
RO-00982,Hungary,Pakistan,1,HUN
RO-00982,Poland,Pakistan,1,POL
RO-00982,Slovenia,Pakistan,1,SVN
RO-00982,Sweden,Pakistan,2,SWE
RO-01013,Germany,Armenia,53,DEU
RO-01014,Germany,Turkey,3,DEU
RO-01057,France,Albania,15,FRA
RO-01058,Italy,Tunisia,28,ITA
RO-01104,Belgium,Albania,5,BEL
RO-01104,France,Albania,18,FRA
RO-01106,Germany,Senegal,12,DEU
RO-01221,Italy,Tunisia,21,ITA
RO-01171,Germany,Tunisia,19,DEU
RO-01201,Austria,Afghanistan,6,AUT
RO-01201,Bulgaria,Afghanistan,2,BGR
RO-01201,Hungary,Afghanistan,1,HUN
RO-01201,Slovenia,Afghanistan,1,SVN
RO-01168,Germany,Nigeria,8,DEU
RO-01309,Spain,Mauritania,38,ESP
RO-01319,Italy,Tunisia,8,ITA
RO-00887,Germany,Georgia,62,DEU
RO-00887,Switzerland,Georgia,3,CHE
RO-00934,Italy,Tunisia,16,ITA
RO-01080,Germany,Afghanistan,11,DEU
RO-01107,Italy,Tunisia,25,ITA
RO-01124,Bulgaria,Dominican Republic,2,BGR
RO-01124,Poland,Colombia,1,POL
RO-01124,Spain,Colombia,34,ESP
RO-01124,Spain,Dominican Republic,5,ESP
RO-01125,Bulgaria,Nigeria,1,BGR
RO-01125,Italy,Nigeria,31,ITA
RO-01115,Germany,Nigeria,8,DEU
RO-01132,Belgium,Albania,4,BEL
RO-01132,France,Albania,27,FRA
RO-01234,Spain,Albania,16,ESP
RO-01234,Spain,Georgia,11,ESP
RO-01261,Italy,Tunisia,35,ITA
