ROID,MSISO,MSNAME,N_ESC,N_ESC_LEAD,N_ESC_POOL,N_OBS,UNIQUE_ID,N_MONITORS,N_MONITORS_POOL
RO-00875,AUT,Austria,15,1,0,0,RO-00875AUT,1,NA
RO-00875,DEU,Germany,16,1,0,0,RO-00875DEU,0,NA
RO-00879,DEU,Germany,80,1,0,0,RO-00879DEU,0,NA
RO-00882,DEU,Germany,37,2,0,0,RO-00882DEU,0,NA
RO-00882,FRA,France,0,0,0,0,RO-00882FRA,0,NA
RO-00882,SWE,Sweden,0,0,0,0,RO-00882SWE,0,NA
RO-00883,DEU,Germany,38,1,0,1,RO-00883DEU,0,NA
RO-00883,FRA,France,0,0,0,0,RO-00883FRA,0,NA
RO-00883,LUX,Luxembourg,0,0,0,0,RO-00883LUX,0,NA
RO-00884,DEU,Germany,37,2,0,0,RO-00884DEU,0,NA
RO-00884,FRA,France,0,0,0,0,RO-00884FRA,0,NA
RO-00885,DEU,Germany,27,3,0,2,RO-00885DEU,0,1
RO-00886,DEU,Germany,71,1,0,0,RO-00886DEU,0,NA
RO-00887,CHE,Switzerland,0,0,0,0,RO-00887CHE,0,NA
RO-00887,DEU,Germany,44,1,0,0,RO-00887DEU,0,NA
RO-00888,DEU,Germany,40,1,0,0,RO-00888DEU,0,NA
RO-00889,DEU,Germany,45,1,0,1,RO-00889DEU,2,NA
RO-00891,DEU,Germany,40,1,0,0,RO-00891DEU,0,1
RO-00892,DEU,Germany,38,1,0,0,RO-00892DEU,0,NA
RO-00894,AUT,Austria,29,1,0,0,RO-00894AUT,1,NA
RO-00894,DEU,Germany,23,1,0,0,RO-00894DEU,0,NA
RO-00896,DEU,Germany,13,1,0,0,RO-00896DEU,0,NA
RO-00898,ESP,Spain,6,1,0,0,RO-00898ESP,0,NA
RO-00898,NLD,Netherlands,7,2,0,0,RO-00898NLD,2,NA
RO-00901,DEU,Germany,46,0,0,0,RO-00901DEU,0,NA
RO-00902,BEL,Belgium,0,0,0,0,RO-00902BEL,0,NA
RO-00902,FRA,France,32,2,0,3,RO-00902FRA,0,NA
RO-00904,BEL,Belgium,0,0,0,0,RO-00904BEL,0,NA
RO-00904,FRA,France,35,2,0,3,RO-00904FRA,0,NA
RO-00905,BEL,Belgium,0,0,0,0,RO-00905BEL,0,NA
RO-00905,FRA,France,35,2,0,3,RO-00905FRA,0,NA
RO-00907,DEU,Germany,57,1,0,0,RO-00907DEU,0,NA
RO-00910,DEU,Germany,45,1,0,0,RO-00910DEU,0,1
RO-00910,SWE,Sweden,0,0,0,0,RO-00910SWE,0,NA
RO-00914,CHE,Switzerland,25,1,0,0,RO-00914CHE,1,NA
RO-00914,DEU,Germany,3,1,0,0,RO-00914DEU,0,NA
RO-00915,GRC,Greece,16,1,0,0,RO-00915GRC,2,NA
RO-00915,SWE,Sweden,5,1,0,0,RO-00915SWE,1,NA
RO-00916,GRC,Greece,47,1,0,0,RO-00916GRC,2,NA
RO-00916,SWE,Sweden,6,1,0,0,RO-00916SWE,0,NA
RO-00918,DEU,Germany,64,1,0,0,RO-00918DEU,0,1
RO-00920,DEU,Germany,47,1,0,0,RO-00920DEU,0,NA
RO-00923,ITA,Italy,76,1,0,0,RO-00923ITA,0,NA
