ID,OPTYPE,N_RETURNEES,N_FX_STAFF,N_ESC_OBS_MED,N_ESC,N_ESC_LEAD,N_MEDS,N_OBS,N_MONITORS,N_MONITORS_POOL,FX_CONTRIB,n
RO-01869,CRO,35,NA,46,44,2,0,0,1,0,62996.14,2
RO-01870,CRO,38,NA,41,40,1,0,0,1,0,97547.22,2
RO-01871,NRO,10,NA,27,26,1,0,0,0,1,42202.85,2
RO-01872,NRO,7,NA,32,30,2,0,0,0,0,72720,2
RO-01873,NRO,39,NA,70,69,1,0,0,1,0,93914.59,2
RO-01874,NRO,11,NA,38,36,2,0,0,0,0,64892.5,2
RO-01875,NRO,44,NA,57,56,1,0,0,2,0,93700.39,2
RO-01876,NRO,20,NA,57,55,2,0,0,0,0,76255,2
RO-01877,NRO,16,NA,46,45,1,0,0,0,0,49793,2
RO-01879,JRO,14,NA,42,40,2,0,0,0,2,529701.2,2
RO-01882,NRO,22,NA,59,58,1,0,0,0,0,66256,2
RO-01884,NRO,21,NA,71,70,1,0,0,0,0,231676.91,2
RO-01885,NRO,14,NA,40,38,2,0,0,0,0,48974.9,2
RO-01887,JRO,4.5,NA,43,40,3,0,0,0,2,492066.69000000006,2
RO-01888,CRO,35,NA,29,28,1,0,0,1,0,102687.7,2
RO-01892,NRO,27,NA,54,53,1,0,0,1,0,98732.43,2
RO-01893,NRO,20,NA,70,69,1,0,0,1,0,83137.71,2
RO-01894,NRO,26,NA,54,53,1,0,0,1,0,164738.97,2
RO-01896,JRO,37.5,NA,116,114,2,0,0,0,3,846347.98,2
RO-01897,JRO,47,NA,180,174,6,0,0,1,1,2534833.32,2
RO-01898,CRO,27,NA,32,31,1,0,0,1,0,107345.7,2
RO-01899,JRO,45,NA,93,91,2,0,0,1,0,748198.02,2
RO-01900,NRO,23,NA,67,66,1,0,0,1,0,82428.8,2
RO-01901,NRO,17,NA,58,57,1,0,0,2,0,171105.29,2
RO-01902,NRO,15,NA,59,58,1,0,0,0,0,74184.5,2
RO-01903,NRO,17,NA,61,60,1,0,0,0,0,42319,2
RO-01904,NRO,15,NA,59,57,2,0,0,0,0,51207,2
RO-01905,NRO,13,NA,52,50,2,0,0,0,0,61509,2
RO-01906,JRO,45,NA,74,71,3,0,0,0,3,447135.05999999994,2
RO-01907,CRO,31,NA,45,44,1,0,0,0,1,46689.36,2
RO-01909,NRO,29,NA,81,79,2,0,0,0,0,51510,2
RO-01911,NRO,17,NA,43,41,2,0,0,0,0,71962.5,2
RO-01912,CRO,33,NA,45,44,1,0,0,2,0,46391.56,2
RO-01913,CRO,32,NA,45,45,0,0,0,1,0,44142.48,2
RO-01914,CRO,31,NA,44,43,1,0,0,1,0,67101,2
RO-01915,CRO,29,NA,46,45,1,0,0,1,0,43918.46,2
RO-01916,NRO,33,NA,90,88,2,0,0,0,0,64640,2
RO-01917,NRO,34,NA,82,81,1,0,0,1,0,100512.63,2
RO-01918,NRO,9,NA,47,45,2,0,0,0,0,41915,2
RO-01919,NRO,16,NA,53,52,1,0,0,0,0,50368.7,2
RO-01921,NRO,21,NA,47,46,1,0,0,0,0,43935,2
RO-01922,NRO,19,NA,72,71,1,0,0,0,2,138029.63,2
RO-01923,NRO,25.5,NA,50,49,1,0,0,1,0,93859.36,2
RO-01925,NRO,29,NA,69,68,1,0,0,1,0,116722.98,2
RO-01926,NRO,34.5,NA,49,48,1,0,0,1,0,95347.7,2
RO-01927,NRO,19,NA,58,57,1,0,0,2,0,88550.2,2
RO-01929,NRO,22,NA,47,46,1,0,0,2,0,85278.75,2
RO-01930,NRO,32,NA,91,90,1,0,0,1,0,346408.56,2
RO-01931,CRO,49,NA,29,28,1,0,0,2,0,112015.78,2
RO-01933,NRO,46,NA,88,87,1,0,0,1,0,110113.13,2
RO-01935,JRO,39,NA,118,115,3,0,0,1,1,NA,2
RO-01937,NRO,31,NA,74,73,1,0,0,0,0,40854.5,2
RO-01938,NRO,13,NA,47,45,2,0,0,0,2,56459,2
RO-01939,CRO,16,NA,18,17,1,0,0,1,0,120368.56,2
RO-01940,NRO,23,NA,66,64,2,0,0,0,0,61509,2
RO-01941,NRO,26,NA,56,55,1,0,0,1,0,107737.27,2
RO-01943,NRO,38,NA,90,88,2,0,0,0,0,60499,2
RO-01944,NRO,25,NA,68,67,1,0,0,0,0,59489,2
RO-01945,NRO,20,NA,70,67,3,0,0,0,2,76760,2
RO-01946,NRO,15,NA,52,50,2,0,0,0,0,75548,2
RO-01947,NRO,19,NA,90,88,2,0,0,0,3,281303.81,2
RO-01949,NRO,7,NA,28,27,1,0,0,0,0,56661,2
RO-01950,NRO,26,NA,66,64,2,0,0,0,0,50399,2
RO-01951,NRO,16,NA,57,56,1,0,0,0,0,91880.76,2
RO-01952,NRO,15,NA,88,87,1,0,0,0,2,82820,2
RO-01953,CRO,49,NA,29,28,1,0,0,1,0,294435.32,2
RO-01954,JRO,65,NA,147,144,3,0,0,1,2,NA,2
RO-01956,NRO,43,NA,94,93,1,0,0,1,0,221210.03,2
RO-01957,JRO,37.5,NA,70,67,3,0,0,2,2,NA,2
RO-01958,NRO,40,NA,83,82,1,0,0,0,0,114809.42,2
RO-01959,NRO,23,NA,70,69,1,0,0,1,0,78763.59,2
RO-01961,JRO,32,NA,132,129,3,0,0,1,2,NA,2
RO-01963,NRO,22,NA,61,60,1,0,0,2,0,225080.19,2
RO-01964,NRO,14.5,NA,55,54,1,0,0,0,0,139948.63,2
RO-01965,NRO,11,NA,37,35,2,0,0,0,0,54843,2
RO-01966,CRO,34,NA,44,43,1,0,0,1,0,64814.95,2
RO-01967,CRO,28,NA,45,44,1,0,0,1,0,47898.73,2
RO-01968,CRO,33,NA,47,46,1,0,0,1,0,88543.46,2
RO-01969,CRO,29,NA,47,46,1,0,0,0,1,45421.61,2
RO-01970,NRO,31,NA,93,92,1,0,0,0,0,47167,2
RO-01971,JRO,23.5,NA,65,63,2,0,0,1,0,238283.52,2
RO-01972,CRO,41,NA,29,28,1,0,0,1,0,109113.14,2
RO-01973,CRO,57,NA,29,28,1,0,0,1,0,369787.3,2
RO-01974,NRO,5.5,NA,34,33,1,0,0,0,1,NA,2
RO-01975,JRO,30.5,NA,102,100,2,0,0,0,0,689006.78,2
RO-01976,NRO,13,NA,44,43,1,0,0,1,0,281424.4,2
RO-01978,NRO,15,NA,61,60,1,0,0,0,0,83628.84,2
RO-01979,JRO,61,NA,86,84,2,0,0,0,0,214795.66,2
RO-01980,NRO,28,NA,88,86,2,0,0,0,0,61478.7,2
RO-01981,JRO,16,NA,58,56,2,0,0,1,0,373410,2
RO-01982,NRO,10,NA,19,18,1,0,0,0,1,NA,2
RO-01983,NRO,44,NA,63,62,1,0,0,2,0,111713.05,2
RO-01984,NRO,39,NA,82,79,3,0,0,0,0,56459,2
RO-01985,NRO,23,NA,67,65,2,0,0,0,0,68377,2
RO-01986,JRO,17,NA,47,45,2,0,0,0,1,NA,2
RO-01987,NRO,33,NA,98,97,1,0,0,0,0,70599,2
RO-01988,NRO,42,NA,73,72,1,0,0,1,0,88109.4,2
RO-01989,NRO,25,NA,70,69,1,0,0,0,2,91304,2
RO-01990,CRO,23,NA,29,28,1,0,0,1,0,105280.17,2
RO-01991,JRO,31.5,NA,96,94,2,0,0,1,0,297718.24,2
RO-01992,NRO,23,NA,61,60,1,0,0,0,0,40369.7,2
RO-01993,NRO,21,NA,57,55,2,0,0,0,0,52388.7,2
RO-01994,CRO,36,NA,45,44,1,0,0,2,0,102269.02,2
RO-01995,CRO,34,NA,43,42,1,0,0,1,0,64870.59,2
RO-01996,CRO,30,NA,47,46,1,0,0,2,0,50797.04,2
RO-01997,CRO,28,NA,44,43,1,0,0,1,0,44203.56,2
RO-01998,CRO,32,NA,45,44,1,0,0,1,0,48476.5,2
RO-01999,NRO,12,NA,56,55,1,0,0,2,0,173357.44,2
RO-02000,JRO,21,NA,67,64,3,0,0,1,0,299965.62,2
RO-02001,CRO,55,NA,29,28,1,0,0,1,0,110537.15,2
RO-02002,NRO,40,NA,97,96,1,0,0,2,0,354435.29,2
RO-02003,NRO,40,NA,86,84,2,0,0,0,0,57267,2
RO-02004,NRO,17,NA,47,46,1,0,0,0,0,74740,2
RO-02005,NRO,35,NA,96,95,1,0,0,0,0,54742,2
RO-02006,NRO,24,NA,61,59,2,0,0,0,0,50096,2
RO-02007,NRO,33,NA,41,40,1,0,0,1,0,89639.8,2
RO-02008,NRO,18,NA,65,64,1,0,0,1,0,94357.39,2
RO-02010,JRO,33,NA,113,109,4,0,0,0,2,259714.8,2
RO-02011,NRO,22,NA,69,68,1,0,0,0,0,48379,2
RO-02012,NRO,24,NA,55,53,2,0,0,0,0,62014,2
RO-02013,NRO,35,NA,70,68,2,0,0,0,0,68680,2
RO-02014,JRO,20,NA,58,56,2,0,0,0,2,NA,2
RO-02015,CRO,30,NA,43,42,1,0,0,2,0,54756.73,2
RO-02016,CRO,21,NA,44,44,0,0,0,1,0,99669.56,2
RO-02017,CRO,25,NA,44,43,1,0,0,2,0,51495.22,2
RO-02018,CRO,28,NA,40,39,1,0,0,2,0,52860.71,2
RO-02019,NRO,38,NA,55,54,1,0,0,1,0,70397.52,2
RO-02020,NRO,45,NA,60,59,1,0,0,1,0,73764.13,2
RO-02022,NRO,32,NA,95,94,1,0,0,0,2,69690,2
RO-02028,NRO,35,NA,90,88,2,0,0,0,0,43834,2
RO-02029,NRO,37,NA,87,86,1,0,0,0,0,66649.9,2
RO-02038,NRO,34,NA,86,84,2,0,0,0,2,77669,2
RO-02040,NRO,27,NA,70,68,2,0,0,0,2,49468.79,2
RO-02041,NRO,15,NA,45,44,1,0,0,0,0,49995,2
RO-02042,NRO,25,NA,74,72,2,0,0,0,0,43116.9,2
RO-02043,NRO,13,NA,31,31,0,0,0,0,0,59229.76,2
