ID,OPTYPE,N_RETURNEES,N_FX_STAFF,N_ESC_OBS_MED,N_ESC,N_ESC_LEAD,N_MEDS,N_OBS,N_MONITORS,N_MONITORS_POOL,FX_CONTRIB,n
RO-01468,NRO,60,NA,184,180,4,0,0,0,0,49793,2
RO-01469,NRO,94,NA,94,92,2,0,0,0,0,52935.24,2
RO-01470,NRO,50,NA,79,76,2,0,1,0,0,59797.05,2
RO-01471,NRO,36,NA,80,78,2,0,0,0,0,74522.85,2
RO-01472,NRO,36,NA,90,86,4,0,0,0,0,33833.99,2
RO-01474,NRO,36,NA,100,96,4,0,0,0,0,34744,2
RO-01475,NRO,40,NA,94,90,4,0,0,0,0,33229,2
RO-01478,NRO,126,NA,92,90,2,0,0,1,0,133620.33,2
RO-01479,JRO,79.5,NA,178,174,4,0,0,1,0,440436.26,2
RO-01480,NRO,78,NA,186,182,4,0,0,0,0,37875,2
RO-01481,NRO,10,NA,22,20,2,0,0,0,0,47167,2
RO-01482,NRO,8,NA,20,18,2,0,0,0,0,43041.15,2
RO-01484,NRO,74,NA,182,176,6,0,0,0,0,41864.5,2
RO-01485,NRO,50,NA,82,80,2,0,0,0,0,59834.93,2
RO-01486,NRO,42,NA,88,86,2,0,0,0,0,67916.95,2
RO-01487,NRO,50,NA,80,78,2,0,0,0,0,67258.43,2
RO-01489,NRO,70,NA,192,188,4,0,0,0,0,45448.99,2
RO-01490,NRO,74,NA,180,176,4,0,0,0,0,41399.9,2
RO-01491,NRO,60,NA,132,130,2,0,0,1,0,96885.32,2
RO-01492,CRO,50,NA,70,68,2,0,0,1,0,52731.12,2
RO-01493,CRO,48,NA,86,84,2,0,0,1,0,52645.01,2
RO-01494,NRO,70,NA,186,182,4,0,0,0,0,42418.99,2
RO-01495,NRO,60,NA,178,174,4,0,0,0,0,43924.9,2
RO-01496,CRO,96,NA,39,36,2,0,1,1,0,99635.63,2
RO-01497,JRO,93,NA,104,96,4,0,0,5,4,419736.38,2
RO-01498,NRO,36,NA,138,136,2,0,0,1,0,101761.87,2
RO-01508,NRO,132,NA,150,148,2,0,0,1,0,110258.01,2
RO-01509,NRO,86,NA,184,182,2,0,0,0,0,90619.91,2
RO-01510,CRO,50,NA,89,84,2,0,3,1,0,56805.74,2
RO-01511,NRO,62,NA,172,170,2,0,0,1,0,84113.81,2
RO-01512,CRO,50,NA,94,92,2,0,0,1,0,48953.19,2
RO-01513,CRO,50,NA,97,92,2,0,3,1,0,49260.52,2
RO-01514,CRO,48,NA,97,92,2,0,3,1,0,49476.98,2
RO-01515,NRO,70,NA,170,166,4,0,0,0,0,47975,2
RO-01516,JRO,58,NA,169,162,4,0,1,2,2,638726.42,2
RO-01517,NRO,30,NA,112,110,2,0,0,0,0,38683,2
RO-01518,NRO,46,1,134,132,2,0,0,0,0,44934.9,2
RO-01519,NRO,70,NA,180,176,4,0,0,0,0,45349,2
RO-01520,NRO,62,NA,186,182,4,0,0,0,0,41157.5,2
RO-01521,NRO,68,NA,134,132,2,0,0,1,0,76774.55,2
RO-01522,NRO,80,NA,184,178,6,0,0,0,0,55449,2
RO-01523,NRO,20,1,112,110,2,0,0,1,0,428306.66,2
RO-01524,CRO,66,NA,95,90,2,0,3,1,0,47721.41,2
RO-01525,JRO,36,NA,110,104,6,0,0,0,0,1134084.09,2
RO-01526,JRO,68,NA,139,116,22,0,0,1,1,343992.39,2
RO-01527,JRO,40,NA,192,188,4,0,0,1,0,332870.68,2
RO-01528,CRO,42,NA,95,90,2,0,3,1,0,47307.55,2
RO-01529,NRO,40,NA,134,132,2,0,0,0,0,90494.94,2
RO-01530,CRO,100,NA,40,36,2,0,2,1,0,253844.62,2
RO-01532,CRO,34,1,99,94,2,0,3,1,0,47518.68,2
RO-01533,NRO,84,NA,102,100,2,0,0,1,0,139438.4,2
RO-01535,CRO,80,NA,41,36,4,0,1,1,0,410865.32999999996,2
RO-01536,NRO,46.5,NA,118,116,2,0,0,1,0,77135.73,2
RO-01537,CRO,52,NA,99,94,2,0,3,1,0,47876.38,2
RO-01542,NRO,84,NA,110,108,2,0,0,1,0,124886.03,2
RO-01543,NRO,48,NA,98,96,2,0,0,0,0,62303.85,2
RO-01544,NRO,34,NA,115,108,6,0,0,1,1,35350,2
RO-01545,NRO,40,NA,103,100,2,0,0,1,1,47884.1,2
RO-01546,NRO,68,NA,186,182,4,0,0,0,0,39390,2
RO-01547,JRO,64,NA,207,194,12,0,0,2,1,2460573.7800000003,2
RO-01548,NRO,30,NA,110,108,2,0,0,0,0,206342.44,2
RO-01549,JRO,48,NA,128,124,4,0,0,0,0,166429.82,2
RO-01551,NRO,76,NA,174,172,2,0,0,0,0,41662.5,2
RO-01552,JRO,70,NA,139,134,4,0,0,1,1,168570.88,2
RO-01553,NRO,80,NA,196,192,4,0,0,0,0,41814,2
RO-01555,NRO,78,NA,196,192,4,0,0,0,0,51611,2
RO-01556,NRO,18,NA,91,88,2,0,0,1,1,82611.69,2
RO-01557,NRO,78,NA,196,192,4,0,0,0,0,54176.4,2
RO-01558,JRO,80,NA,141,136,4,0,0,1,1,238442.66,2
RO-01559,NRO,80,NA,194,NA,194,0,0,0,0,38885,2
RO-01560,NRO,78,NA,182,180,2,0,0,0,0,37753.8,2
RO-01561,JRO,14,NA,70,66,4,0,0,1,0,282029.1,2
RO-01562,NRO,78,NA,187,184,2,0,0,1,1,246338.97,2
RO-01563,NRO,102,NA,108,106,2,0,0,0,0,68526.43,2
RO-01564,NRO,80,NA,194,190,4,0,0,0,0,39592,2
RO-01565,NRO,74,NA,184,178,6,0,0,0,0,35228.8,2
RO-01566,NRO,10,NA,25,22,2,0,0,1,1,98776.99,2
RO-01568,NRO,66,NA,216,212,4,0,0,0,0,41309,2
RO-01570,JRO,36,NA,114,108,6,0,0,1,0,209376.68,2
RO-01571,NRO,80,NA,186,182,4,0,0,0,0,40905,2
RO-01572,NRO,64,NA,170,166,4,0,0,0,0,40804,2
RO-01573,JRO,48,2,146,136,9,0,0,1,1,1221340.44,2
RO-01574,NRO,96,NA,152,150,2,0,0,1,0,86765.45,2
RO-01575,JRO,44,NA,156,152,4,0,0,0,0,286823.22,2
RO-01576,NRO,76,NA,196,190,6,0,0,0,0,40299,2
RO-01577,NRO,44,NA,90,88,2,0,0,0,0,96191.49,2
RO-01578,NRO,72,NA,204,200,4,0,0,0,0,47470,2
RO-01580,CRO,66,NA,99,94,2,0,3,1,0,48853.18,2
RO-01582,CRO,50,NA,101,94,2,0,5,1,0,152456.73,2
RO-01583,NRO,91.5,NA,180,178,2,0,0,1,0,97113.04,2
RO-01584,NRO,73.5,NA,134,132,2,0,0,1,0,88007.11,2
RO-01585,CRO,58,NA,42,38,4,0,0,1,0,256488.38,2
RO-01586,NRO,42,NA,134,132,2,0,0,1,0,90715.99,2
RO-01587,CRO,60,1,101,96,2,0,3,1,0,48985.78,2
RO-01588,CRO,52,NA,101,96,2,0,3,1,0,47441.92,2
RO-01589,CRO,44,NA,101,96,2,0,3,1,0,47630.36,2
RO-01590,NRO,62,NA,99,96,2,0,0,1,1,101635.27,2
RO-01591,JRO,86,1,288,278,8,0,0,3,2,1649179.36,2
RO-01592,JRO,22,NA,55,50,4,0,0,1,1,901046.19,2
RO-01593,NRO,60,NA,130,126,2,0,0,2,2,146944.9,2
RO-01594,NRO,26,NA,106,104,2,0,0,1,0,139831.14,2
RO-01595,NRO,70,NA,176,174,2,0,0,0,0,95272.35,2
RO-01596,NRO,4,NA,26,24,2,0,0,1,0,161900.48,2
RO-01597,NRO,60,NA,214,212,2,0,0,0,0,346730.16,2
RO-01598,NRO,60,NA,212,210,2,0,0,0,0,41195.88,2
RO-01599,NRO,16,NA,41,38,1,0,0,2,0,126776.31,2
RO-01600,NRO,56,NA,76,74,2,0,0,0,0,52937.16,2
RO-01601,NRO,139.5,NA,252,248,2,0,0,2,2,375742.57,2
RO-01602,NRO,58,NA,190,188,2,0,0,0,0,62519,2
RO-01603,NRO,50,NA,97,94,2,0,0,1,1,351136.2,2
RO-01604,CRO,20,NA,49,48,1,0,0,1,0,44802.16,2
RO-01605,NRO,12,NA,55,54,1,0,0,1,0,84990.35,2
RO-01606,JRO,29.5,NA,59,57,2,0,0,0,1,283225.62,2
RO-01607,CRO,17,NA,47,46,1,0,0,1,0,46148.78,2
RO-01609,NRO,26,NA,84,83,1,0,0,0,0,410884.88,2
RO-01610,JRO,42,NA,70,68,2,0,0,0,0,276402.36,2
RO-01611,NRO,30.5,NA,49,48,1,0,0,0,0,71747.43,2
RO-01612,NRO,25,NA,92,91,1,0,0,0,0,152876.18,2
RO-01614,NRO,41,NA,65,64,1,0,0,1,0,92617.15,2
RO-01615,CRO,15,NA,48,47,1,0,0,1,0,46811.02,2
RO-01616,JRO,38,NA,144,141,3,0,0,0,1,1240787.7000000002,2
RO-01618,NRO,16,NA,75,74,1,0,0,0,0,163633.72,2
RO-01619,CRO,9,NA,45,44,1,0,0,1,0,46090.52,2
RO-01622,NRO,58,NA,194,190,4,0,0,0,0,58559.8,2
RO-01623,NRO,50,NA,206,204,2,0,0,0,0,59539.5,2
RO-01624,NRO,24,NA,68,66,2,0,0,0,0,97461.64,2
RO-01625,JRO,7,NA,29,27,2,0,0,0,1,457037.48,2
RO-01626,JRO,12,NA,65,62,3,0,0,0,2,455762.79,2
RO-01627,JRO,24,NA,105,103,2,0,0,0,0,662293.26,2
RO-01628,NRO,25,NA,64,63,1,0,0,0,1,216975,2
RO-01629,NRO,64,NA,159,154,4,0,0,1,1,41208,2
RO-01630,NRO,56,NA,162,158,4,0,0,0,0,60286.9,2
RO-01631,NRO,26,NA,140,136,4,0,0,0,0,39892.98,2
RO-01632,NRO,6,NA,29,27,2,0,0,0,1,31365.29,2
RO-01633,NRO,24,NA,100,96,4,0,0,0,0,29764.7,2
RO-01634,NRO,34,NA,116,112,4,0,0,0,0,41006,2
RO-01635,NRO,42,NA,90,89,1,0,0,1,0,78118.77,2
RO-01636,CRO,18,NA,46,45,1,0,0,1,0,45702.11,2
RO-01637,NRO,25,NA,67,66,1,0,0,0,0,71794.56,2
RO-01639,NRO,24,NA,61,60,1,0,0,1,0,66335.1,2
RO-01640,CRO,10,NA,45,44,1,0,0,1,0,46616.68,2
RO-01641,NRO,18.5,NA,56,55,1,0,0,1,0,71190.44,2
RO-01642,JRO,15,NA,80,78,2,0,0,0,0,316977.84,2
RO-01643,CRO,49,NA,21,19,2,0,0,1,0,344662,2
RO-01644,NRO,26,NA,127,126,1,0,0,0,0,409055.23,2
RO-01645,CRO,16,NA,45,44,1,0,0,1,0,45717.53,2
RO-01647,CRO,40,NA,47,46,1,0,0,1,0,49870.08,2
RO-01648,JRO,37,NA,101,92,9,0,0,0,3,4205469.87,2
RO-01650,NRO,34,NA,84,83,1,0,0,0,0,64981.46,2
RO-01653,JRO,22,NA,71,68,3,0,0,0,2,1015264.26,2
RO-01654,NRO,16,NA,90,89,1,0,0,0,0,316443.71,2
RO-01656,NRO,36,NA,92,91,1,0,0,0,2,29461.7,2
RO-01657,NRO,10,NA,58,57,1,0,0,0,0,64628.06,2
RO-01658,NRO,40,NA,92,91,1,0,0,0,0,33259.3,2
RO-01659,NRO,9,NA,59,58,1,0,0,0,0,139793.79,2
RO-01660,NRO,37,NA,96,94,2,0,0,0,0,58428.5,2
RO-01663,NRO,21,NA,42,41,1,0,0,0,0,78002.3,2
RO-01665,NRO,22,NA,75,74,1,0,0,0,0,166582.2,2
RO-01667,NRO,19.5,NA,74,73,1,0,0,0,0,81151.4,2
RO-01668,NRO,32,NA,94,93,1,0,0,0,0,109210.21,2
RO-01669,NRO,14,NA,71,70,1,0,0,0,0,84909.72,2
RO-01671,NRO,17,NA,56,55,1,0,0,0,0,69679.9,2
RO-01673,JRO,15,NA,48,46,2,0,0,0,1,190341.24,2
RO-01674,NRO,21,NA,69,68,1,0,0,1,0,85263.68,2
RO-01675,JRO,24,NA,109,106,3,0,0,1,0,624141.75,2
RO-01676,CRO,53,NA,19,18,1,0,0,1,0,317893.68,2
RO-01677,NRO,20.5,NA,40,39,1,0,0,0,0,75535.54,2
RO-01678,JRO,10,NA,53,49,4,0,0,0,2,656327.6,2
RO-01679,NRO,26,NA,108,107,1,0,0,0,0,413143.11,2
RO-01681,JRO,27.5,NA,56,54,2,0,0,1,0,373994.49,2
RO-01682,JRO,24,NA,81,78,3,0,0,1,0,531070.11,2
RO-01683,JRO,29,NA,122,120,2,0,0,0,0,654305.74,2
RO-01684,CRO,45,NA,19,18,1,0,0,1,0,361517.72,2
RO-01685,JRO,50.5,NA,164,160,4,0,0,0,4,2060320.56,2
RO-01686,JRO,19,NA,82,80,2,0,0,1,0,907458.5,2
RO-01687,NRO,15,NA,74,73,1,0,0,0,0,159645.39,2
RO-01689,JRO,24,NA,95,93,2,0,0,0,0,818388.42,2
RO-01690,NRO,34,NA,78,77,1,0,0,0,0,93656.29,2
RO-01691,JRO,29,NA,82,76,6,0,0,0,2,2866166.15,2
RO-01698,NRO,21,NA,57,56,1,0,0,0,0,70467.7,2
RO-01699,NRO,10,NA,35,34,1,0,0,0,1,52623.57,2
RO-01702,JRO,33,NA,81,79,2,0,0,1,0,161851.16,2
RO-01703,NRO,32,NA,91,90,1,0,0,0,0,148145.89,2
RO-01704,NRO,12.5,NA,59,58,1,0,0,0,0,180675,2
RO-01705,NRO,40,NA,51,50,1,0,0,0,0,49329.44,2
RO-01706,NRO,21,NA,84,83,1,0,0,0,0,74639,2
RO-01707,NRO,48,NA,47,46,1,0,0,0,0,75655.68,2
RO-01708,JRO,30,NA,76,70,6,0,0,0,0,1353379.1400000001,2
RO-01709,CRO,52,NA,NA,NA,0,0,0,1,1,444927.27,2
RO-01710,NRO,20,NA,79,78,1,0,0,0,0,402919.85,2
RO-01711,JRO,26,NA,83,82,1,0,0,0,0,350301.27,2
RO-01712,NRO,22,NA,45,44,1,0,0,0,0,82796.81,2
RO-01713,JRO,32.5,NA,95,93,2,0,0,0,0,421107.28,2
RO-01714,JRO,26,NA,62,58,4,0,0,0,2,1579932.44,2
RO-01715,JRO,19.5,NA,47,45,2,0,0,1,0,175318.92,2
RO-01717,NRO,21,NA,63,62,1,0,0,0,0,78505.81,2
RO-01719,JRO,32.5,NA,76,75,1,0,0,0,0,238989.81,2
RO-01720,NRO,52,NA,76,75,1,0,0,2,0,200800.2,2
RO-01721,JRO,3,NA,33,31,2,0,0,0,1,214684.22,2
RO-01723,NRO,13,NA,44,43,1,0,0,0,0,34340,2
RO-01724,NRO,35,NA,61,59,2,0,0,0,2,73326,2
RO-01725,NRO,2,NA,36,35,1,0,0,0,0,66559,2
RO-01726,NRO,28,NA,61,60,1,0,0,1,0,76288.42,2
RO-01727,NRO,30,NA,113,112,1,0,0,0,0,328018.44,2
RO-01729,NRO,16,NA,62,58,4,0,0,0,0,74235,2
RO-01732,NRO,29,NA,71,70,1,0,0,0,0,74502.66,2
RO-01733,CRO,18,NA,49,49,0,0,0,1,0,46106.59,2
RO-01734,CRO,16,NA,45,44,1,0,0,1,0,96813.4,2
RO-01735,CRO,16,NA,48,47,1,0,0,1,0,91215.36,2
RO-01736,NRO,26,NA,64,63,1,0,0,0,0,73326,2
RO-01737,NRO,10,NA,21,20,1,0,0,0,0,43316.88,2
RO-01739,NRO,30,NA,89,87,2,0,0,0,0,76255,2
RO-01740,NRO,18,NA,32,31,1,0,0,0,0,43269.92,2
RO-01741,NRO,23,NA,32,31,1,0,0,0,0,45155.08,2
RO-01743,NRO,11,NA,84,82,2,0,0,0,0,77265,2
RO-01744,NRO,14,NA,31,30,1,0,0,0,0,43129.02,2
RO-01745,NRO,13,NA,28,27,1,0,0,0,0,43316.88,2
RO-01746,NRO,17,NA,64,62,2,0,0,0,0,58580,2
RO-01747,NRO,17,NA,73,71,2,0,0,0,0,85850,2
RO-01749,NRO,16,NA,30,29,1,0,0,0,0,43316.88,2
RO-01750,CRO,41,NA,29,28,1,0,0,1,0,295015.16,2
RO-01753,JRO,17,NA,69,66,3,0,0,0,0,189048,2
RO-01755,CRO,60,NA,29,28,1,0,0,1,0,267565.98,2
RO-01756,NRO,35,NA,117,116,1,0,0,0,0,358587.72,2
RO-01757,NRO,33,NA,43,42,1,0,0,0,0,87714.7,2
RO-01758,NRO,25,NA,73,72,1,0,0,0,0,83063.35,2
RO-01759,JRO,19,NA,67,65,2,0,0,0,0,344817.12,2
RO-01760,JRO,43,NA,143,140,3,0,0,0,1,1186856.7000000002,2
RO-01762,NRO,28,NA,84,83,1,0,0,0,0,167298.54,2
RO-01763,NRO,20,NA,74,73,1,0,0,0,0,76110.6,2
RO-01764,NRO,32.5,NA,40,39,1,0,0,1,0,85579.96,2
RO-01765,NRO,24,NA,60,59,1,0,0,0,0,60589.9,2
RO-01766,NRO,27,NA,68,67,1,0,0,1,0,98944.01,2
RO-01768,NRO,24,NA,73,71,2,0,0,0,0,69488,2
RO-01769,NRO,29,NA,77,76,1,0,0,1,0,83613.15,2
RO-01770,JRO,38,NA,99,93,6,0,0,0,3,3293174.45,2
RO-01771,NRO,10,NA,30,29,1,0,0,0,0,164925,2
RO-01772,NRO,20,NA,80,78,2,0,0,0,0,34542,2
RO-01773,NRO,21,NA,60,58,2,0,0,0,0,80295,2
RO-01774,NRO,28,NA,78,76,2,0,0,0,0,72316,2
RO-01775,NRO,17,NA,83,81,2,0,0,0,0,80749.5,2
RO-01776,NRO,15,NA,59,58,1,0,0,0,0,85850,2
RO-01778,NRO,22,NA,34,33,1,0,0,0,0,44730.88,2
RO-01779,CRO,20,NA,42,41,1,0,0,1,0,41859.56,2
RO-01780,CRO,12,NA,45,44,1,0,0,1,0,43874.95,2
RO-01781,CRO,26,NA,44,43,1,0,0,1,0,47163.07,2
RO-01782,NRO,22,NA,67,65,2,0,0,0,0,80396,2
RO-01783,NRO,27,NA,92,90,2,0,0,0,0,80295,2
RO-01784,NRO,35,NA,99,97,2,0,0,0,2,80396,2
RO-01785,NRO,30,NA,108,106,2,0,0,0,2,92920,2
RO-01786,JRO,16.5,NA,87,85,2,0,0,1,1,221737.4,2
RO-01787,NRO,19,NA,80,79,1,0,0,0,0,93010.78,2
RO-01788,CRO,54,NA,29,28,1,0,0,1,0,267010.9,2
RO-01789,NRO,42,NA,120,119,1,0,0,0,0,406610.81,2
RO-01790,NRO,31,NA,67,66,1,0,0,1,0,111370.14,2
RO-01791,JRO,31,NA,91,86,5,0,0,0,3,2559981.72,2
RO-01793,NRO,18,NA,70,69,1,0,0,1,0,86096.31,2
RO-01794,NRO,17,NA,66,65,1,0,0,1,0,177908.04,2
RO-01795,NRO,47,NA,88,87,1,0,0,1,0,409926.8,2
RO-01796,NRO,20,NA,69,68,1,0,0,1,0,97895.71,2
RO-01797,JRO,27.5,NA,46,44,2,0,0,0,1,257944.26,2
RO-01798,JRO,47,NA,157,153,4,0,0,1,1,1671767.12,2
RO-01799,NRO,17,NA,94,93,1,0,0,0,0,203159.44,2
RO-01800,CRO,56,NA,31,28,3,0,0,1,0,293210.74,2
RO-01801,JRO,34.5,NA,105,101,4,0,0,0,4,1151183.4,2
RO-01802,NRO,28,NA,91,89,2,0,0,0,0,78780,2
RO-01803,NRO,37,NA,51,50,1,0,0,0,0,134850.21,2
RO-01805,JRO,28,NA,113,110,3,0,0,0,2,1525477.08,2
RO-01806,JRO,32.5,NA,86,84,2,0,0,0,2,625264.59,2
RO-01807,NRO,18,NA,63,62,1,0,0,0,0,80699,2
RO-01808,NRO,32.5,NA,71,70,1,0,0,1,0,116582.12,2
RO-01809,CRO,35,NA,44,43,1,0,0,1,0,64793.63,2
RO-01810,CRO,30,NA,45,44,1,0,0,1,0,46595.31,2
RO-01812,CRO,27,NA,45,44,1,0,0,1,0,46397.92,2
RO-01813,CRO,36,NA,45,44,1,0,0,1,0,45841.49,2
RO-01814,CRO,27,NA,48,48,0,0,0,1,0,44282.96,2
RO-01815,NRO,12,NA,46,45,1,0,0,0,0,72265.5,2
RO-01816,JRO,17,NA,79,76,3,0,0,0,2,996482.08,2
RO-01817,CRO,32,NA,45,44,1,0,0,1,0,48851.07,2
RO-01818,JRO,26,NA,72,69,3,0,0,0,1,532485.66,2
RO-01820,NRO,23.5,NA,68,67,1,0,0,1,0,74312.7,2
RO-01821,NRO,22,NA,66,65,1,0,0,1,0,87217.73,2
RO-01822,CRO,42,NA,29,28,1,0,0,1,0,108244.08,2
RO-01823,NRO,14,NA,62,61,1,0,0,1,0,178557.71,2
RO-01825,CRO,33,NA,45,44,1,0,0,1,0,45791.32,2
RO-01827,NRO,42,NA,70,69,1,0,0,1,0,116321.05,2
RO-01829,NRO,24,NA,33,32,1,0,0,0,0,89808.16,2
RO-01830,JRO,35,NA,138,136,2,0,0,1,1,771683.36,2
RO-01832,NRO,25,NA,95,94,1,0,0,1,0,354967.22,2
RO-01834,NRO,37,NA,43,42,1,0,0,0,0,97807.78,2
RO-01835,CRO,36,NA,29,28,1,0,0,1,0,106425.09,2
RO-01837,NRO,16,NA,48,46,2,0,0,0,0,54439,2
RO-01838,JRO,7,NA,24,22,2,0,0,0,3,532807.62,2
RO-01839,NRO,19,NA,54,52,2,0,0,0,0,51510,2
RO-01840,NRO,15,NA,49,47,2,0,0,0,0,47762.9,2
RO-01841,NRO,27,NA,102,101,1,0,0,0,0,444442.84,2
RO-01842,JRO,19,NA,49,47,2,0,0,0,1,253716.06,2
RO-01843,NRO,39,NA,88,86,2,0,0,0,0,47863.9,2
RO-01844,NRO,5,NA,41,40,1,0,0,0,1,75150,2
RO-01845,NRO,13,NA,47,46,1,0,0,1,0,94568.93,2
RO-01847,NRO,21,NA,69,67,2,0,0,0,2,54944,2
RO-01848,NRO,12,NA,26,25,1,0,0,0,0,51843.3,2
RO-01849,NRO,21,NA,54,52,2,0,0,0,0,50550.5,2
RO-01851,NRO,15,NA,50,49,1,0,0,0,0,45349,2
RO-01853,NRO,15.5,NA,38,37,1,0,0,1,0,99525.14,2
RO-01854,NRO,11,NA,50,49,1,0,0,1,0,109691.34,2
RO-01857,NRO,8,NA,31,30,1,0,0,2,0,69159.22,2
RO-01858,CRO,50,NA,29,28,1,0,0,1,0,260002.44,2
RO-01860,NRO,40,NA,98,97,1,0,0,2,0,368343.32,2
RO-01861,NRO,26.5,NA,40,39,1,0,0,1,0,88510.51,2
RO-01862,JRO,32,NA,131,129,2,0,0,1,1,773694.28,2
RO-01866,NRO,17,NA,47,45,2,0,0,0,0,79891,2
RO-01867,NRO,38,NA,102,101,1,0,0,0,0,85839.9,2
RO-01868,CRO,35,NA,45,44,1,0,0,2,0,49635.39,2
