ROID,DATE,MSISO,FX_CONTRIB,MSNAME,N_ESC_LEAD,N_ESC,FRESO_AP_CAT_1,FRESO_AP_CAT_2,FRESO_HQ_CAT_1,FRESO_HQ_CAT_2,FRESO_CAT_3,N_MEDS,N_OBS_MS,N_OBS_TC,N_MONITORS_NAT,N_MONITORS_POOL_MS,N_MONITORS_FX,N_MONITORS,N_OBS,N_ESC_OBS_MED
RO-00954,07/03/2019,BEL,170.85,Belgium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RO-00935,07/03/2019,DEU,100980.56,Germany,1,34,0,0,0,0,0,2,0,0,0,1,0,1,0,37
RO-00853,12/03/2019,SWE,501562.19,Sweden,2,46,0,0,0,0,0,2,1,0,1,0,0,1,1,51
RO-00853,12/03/2019,AUT,2822.95,Austria,1,43,0,0,0,0,0,0,0,0,1,0,0,1,0,44
RO-00853,12/03/2019,HUN,6810.21,Hungary,1,4,0,0,0,0,5,0,0,0,0,0,0,0,0,5
RO-00853,12/03/2019,GRC,NA,Greece,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,10
RO-00853,12/03/2019,CZE,4369.26,Czech Republic,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
RO-00853,12/03/2019,SVN,3660.24,Slovenia,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
RO-00853,12/03/2019,BGR,10194.94,Bulgaria,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0
RO-00853,12/03/2019,DNK,1826.08,Denmark,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RO-00956,12/03/2019,FRA,40979.9,France,2,34,0,0,0,0,0,2,0,0,0,1,0,1,0,38
RO-00956,12/03/2019,BEL,170.85,Belgium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RO-00961,13/03/2019,DEU,98101.69,Germany,1,71,0,0,0,0,0,2,0,0,0,1,0,1,0,74
RO-00915,13/03/2019,GRC,NA,Greece,1,16,0,0,0,0,0,1,0,0,2,0,0,2,0,18
RO-00915,13/03/2019,SWE,38350.29,Sweden,1,5,0,0,0,0,0,0,0,0,1,0,0,1,0,6
RO-00997,14/03/2019,ITA,34843.99,Italy,1,43,0,0,0,0,0,2,0,0,0,0,0,0,0,46
RO-00990,14/03/2019,DEU,154061.15,Germany,1,9,0,0,0,0,0,1,0,0,0,0,0,0,0,11
RO-00960,14/03/2019,DEU,50419.79,Germany,1,16,0,0,0,0,0,2,0,0,0,1,0,1,0,19
RO-00936,14/03/2019,DEU,83487.54,Germany,2,38,0,0,0,0,0,1,0,0,0,1,0,1,0,41
RO-00998,15/03/2019,ITA,43428.99,Italy,2,58,0,0,0,0,0,2,0,0,0,0,0,0,0,62
RO-00860,15/03/2019,AUT,80340.65,Austria,1,45,0,0,0,0,0,3,0,0,1,0,0,1,0,49
RO-00860,15/03/2019,DEU,42142.05,Germany,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,15
RO-00983,19/03/2019,AUT,59160.14,Austria,1,40,0,0,0,0,0,3,0,0,1,0,0,1,0,44
RO-00983,19/03/2019,SVN,260.74,Slovenia,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3
RO-00955,19/03/2019,FRA,43735.91,France,2,35,0,0,0,0,0,2,3,0,0,1,0,1,3,42
RO-00955,19/03/2019,BEL,170.85,Belgium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RO-00870,19/03/2019,DEU,442426.1,Germany,1,75,0,0,0,0,0,1,0,0,0,1,0,1,0,77
RO-00988,26/03/2019,BEL,240169.43,Belgium,2,28,0,0,0,0,0,1,1,0,3,0,0,3,1,32
RO-00988,26/03/2019,AUT,7265.94,Austria,1,2,0,0,0,0,0,0,0,0,1,0,0,1,0,3
RO-00988,26/03/2019,NLD,5511.6,Netherlands,1,5,0,0,0,0,3,0,0,0,0,0,0,0,0,6
RO-00988,26/03/2019,HUN,4179.69,Hungary,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3
RO-00988,26/03/2019,CHE,44655.32,Switzerland,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,8
RO-00988,26/03/2019,DEU,25161.05,Germany,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3
RO-00988,26/03/2019,PRT,NA,Portugal,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
RO-00988,26/03/2019,BGR,8150.7,Bulgaria,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
RO-00958,26/03/2019,FRA,42660.85,France,2,32,0,0,0,0,0,2,3,0,0,1,0,1,3,39
RO-00958,26/03/2019,BEL,170.85,Belgium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RO-00946,26/03/2019,DEU,100825.91,Germany,1,42,0,0,0,0,0,4,0,0,0,1,0,1,0,47
RO-00884,26/03/2019,DEU,104180.52,Germany,2,37,0,0,0,0,0,1,0,0,0,1,0,1,0,40
RO-00884,26/03/2019,FRA,4931.48,France,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RO-00996,28/03/2019,ESP,192969.25,Spain,1,77,0,0,0,0,0,2,0,0,2,0,0,2,0,80
RO-00967,28/03/2019,DEU,317667.5,Germany,1,74,0,0,0,0,0,2,1,0,0,1,0,1,1,78
RO-00939,28/03/2019,DEU,277071.17,Germany,1,79,0,0,0,0,0,2,0,0,0,1,0,1,0,82
RO-01007,29/03/2019,FRA,37307.38,France,1,22,0,0,0,0,0,0,0,0,0,0,0,0,0,23
RO-00993,30/03/2019,ITA,32545.22,Italy,2,105,0,0,0,0,0,2,0,0,1,0,0,1,0,109
RO-00993,30/03/2019,BEL,310858.51,Belgium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RO-01010,01/04/2019,ITA,44743,Italy,2,87,0,0,0,0,0,2,0,0,0,0,0,0,0,91
RO-00975,02/04/2019,FRA,43691.47,France,2,34,0,0,0,0,0,2,3,0,0,1,0,1,3,41
RO-00975,02/04/2019,BEL,170.85,Belgium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RO-00999,02/04/2019,DEU,171078.67,Germany,1,39,0,0,0,0,0,1,0,0,0,1,0,1,0,41
RO-00986,03/04/2019,AUT,58994.1,Austria,1,26,0,0,0,0,0,3,0,0,1,0,0,1,0,30
RO-00964,05/04/2019,DEU,45674.77,Germany,1,23,0,0,0,0,0,2,0,0,0,1,0,1,0,26
RO-01016,08/04/2019,ITA,40501,Italy,1,69,0,0,0,0,0,2,0,0,0,0,0,0,0,72
RO-00959,09/04/2019,DEU,70146.81,Germany,1,28,0,0,0,0,0,2,0,0,0,2,0,2,0,31
RO-00976,09/04/2019,FRA,43253.89,France,2,45,0,0,0,0,0,2,3,0,0,1,0,1,3,52
RO-00976,09/04/2019,BEL,170.85,Belgium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RO-00980,09/04/2019,DEU,137139.2,Germany,1,61,0,0,0,0,0,3,0,0,1,1,0,2,0,65
RO-00859,10/04/2019,AUT,325374.67,Austria,1,43,0,0,0,0,0,3,1,0,1,0,0,1,1,48
RO-00859,10/04/2019,FRA,13815.12,France,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,8
RO-00859,10/04/2019,DEU,14480.64,Germany,1,35,0,0,0,0,0,0,0,0,0,0,0,0,0,36
RO-00859,10/04/2019,HUN,855.79,Hungary,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3
RO-00859,10/04/2019,SWE,38237.14,Sweden,1,7,0,0,0,0,0,0,0,0,1,0,0,1,0,8
RO-00987,10/04/2019,DEU,98327.49,Germany,1,74,0,0,0,0,0,2,0,0,0,1,0,1,0,77
RO-00952,11/04/2019,DEU,102025.6,Germany,1,41,0,0,0,0,0,2,0,0,0,1,0,1,0,44
RO-00977,16/04/2019,FRA,43062.72,France,2,35,0,0,0,0,0,2,4,0,0,1,0,1,4,43
RO-00977,16/04/2019,FIN,35330.81,Finland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RO-00977,16/04/2019,BEL,170.85,Belgium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RO-00982,16/04/2019,AUT,305103.83,Austria,1,23,0,0,0,0,0,3,0,0,1,0,0,1,0,27
RO-00982,16/04/2019,SWE,20219.8,Sweden,1,5,0,0,0,0,0,0,0,0,1,0,0,1,0,6
RO-00982,16/04/2019,POL,3951.12,Poland,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4
RO-00982,16/04/2019,SVN,951.58,Slovenia,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4
RO-00982,16/04/2019,HUN,1242.62,Hungary,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3
