ROID,DATE,N_FX_STAFF
RO-01648,23/02/2021,1
RO-01650,25/02/2021,0
RO-01653,10/02/2021,2
RO-01654,17/02/2021,11
RO-01656,04/01/2021,0
RO-01657,22/01/2021,0
RO-01658,07/01/2021,0
RO-01659,27/01/2021,0
RO-01660,15/01/2021,0
RO-01663,29/01/2021,0
RO-01665,23/02/2021,0
RO-01667,25/02/2021,0
RO-01668,23/02/2021,0
RO-01669,04/02/2021,0
RO-01671,21/01/2021,0
RO-01673,08/04/2021,0
RO-01674,03/03/2021,0
RO-01675,03/03/2021,0
RO-01676,11/03/2021,0
RO-01678,11/03/2021,0
RO-01679,09/03/2021,0
RO-01681,19/03/2021,0
RO-01682,16/03/2021,1
RO-01683,16/03/2021,0
RO-01684,25/03/2021,0
RO-01685,23/03/2021,0
RO-01686,23/03/2021,1
RO-01687,23/03/2021,0
RO-01689,30/03/2021,0
RO-01690,31/03/2021,0
RO-01691,30/03/2021,1
RO-01698,28/01/2021,0
RO-01699,06/05/2021,0
RO-01702,29/03/2021,0
RO-01703,31/03/2021,0
RO-01704,02/03/2021,0
RO-01705,04/03/2021,0
RO-01706,08/02/2021,0
RO-01707,25/02/2021,0
RO-01708,16/06/2021,1
RO-01709,08/04/2021,0
RO-01710,07/04/2021,1
RO-01711,14/04/2021,0
RO-01712,13/04/2021,0
RO-01713,14/04/2021,0
RO-01714,14/04/2021,0
RO-01715,22/04/2021,0
RO-01717,21/04/2021,0
RO-01719,29/04/2021,0
RO-01720,28/04/2021,1
RO-01721,29/04/2021,1
RO-01723,11/02/2021,0
RO-01724,18/02/2021,0
RO-01725,15/02/2021,0
RO-01726,15/04/2021,0
RO-01727,20/04/2021,0
RO-01729,22/02/2021,0
RO-01732,24/03/2021,0
RO-01733,20/04/2021,0
RO-01734,06/04/2021,0
RO-01735,13/04/2021,1
RO-01736,01/03/2021,0
RO-01737,02/03/2021,0
RO-01739,04/03/2021,0
RO-01740,09/03/2021,0
RO-01741,27/04/2021,0
RO-01743,08/03/2021,0
RO-01745,23/03/2021,1
RO-01746,11/03/2021,0
RO-01747,19/03/2021,0
RO-01749,30/03/2021,0
RO-01750,06/05/2021,0
RO-01753,11/05/2021,0
RO-01755,20/05/2021,2
RO-01756,18/05/2021,0
RO-01757,17/05/2021,0
RO-01758,19/05/2021,0
RO-01759,20/05/2021,1
RO-01760,26/05/2021,0
RO-01762,01/06/2021,0
RO-01763,01/06/2021,0
RO-01764,01/06/2021,0
RO-01765,18/03/2021,0
RO-01766,18/05/2021,0
RO-01768,22/03/2021,0
RO-01769,11/05/2021,0
RO-01770,18/05/2021,0
RO-01771,11/05/2021,1
RO-01772,25/03/2021,0
RO-01773,29/03/2021,0
RO-01774,01/04/2021,0
RO-01775,08/04/2021,0
RO-01776,13/04/2021,0
RO-01778,04/05/2021,0
RO-01779,11/05/2021,0
RO-01780,18/05/2021,0
RO-01781,25/05/2021,1
RO-01782,15/04/2021,0
RO-01783,19/04/2021,0
RO-01784,22/04/2021,0
RO-01785,27/04/2021,0
RO-01786,27/05/2021,0
RO-01787,02/06/2021,0
RO-01788,10/06/2021,1
RO-01789,08/06/2021,0
RO-01790,15/06/2021,0
RO-01791,15/06/2021,1
RO-01793,16/06/2021,0
RO-01794,17/06/2021,1
RO-01795,22/06/2021,0
RO-01796,24/06/2021,0
RO-01797,25/06/2021,0
RO-01798,22/06/2021,1
RO-01799,28/06/2021,0
RO-01800,01/07/2021,0
RO-01802,26/04/2021,0
RO-01803,01/07/2021,1
RO-01805,09/06/2021,1
RO-01806,26/05/2021,0
RO-01807,03/05/2021,0
RO-01808,01/07/2021,0
RO-01809,01/06/2021,0
RO-01810,08/06/2021,1
RO-01812,15/06/2021,0
RO-01813,22/06/2021,0
RO-01814,29/06/2021,1
RO-01815,10/05/2021,0
RO-01816,15/06/2021,0
RO-01817,06/07/2021,1
RO-01818,07/07/2021,0
RO-01820,15/07/2021,0
RO-01821,14/07/2021,0
RO-01822,15/07/2021,1
RO-01823,13/07/2021,1
RO-01825,20/07/2021,1
RO-01827,20/07/2021,0
RO-01829,22/07/2021,0
RO-01830,27/07/2021,1
RO-01832,28/07/2021,1
RO-01834,30/07/2021,0
RO-01835,29/07/2021,0
RO-01837,21/05/2021,0
RO-01838,02/06/2021,1
RO-01839,17/05/2021,0
RO-01840,24/05/2021,0
RO-01841,06/07/2021,1
RO-01842,15/07/2021,0
RO-01843,27/05/2021,0
RO-01844,20/07/2021,1
RO-01845,27/07/2021,0
RO-01847,04/06/2021,0
RO-01848,01/07/2021,0
RO-01849,07/06/2021,0
RO-01851,14/06/2021,0
RO-01853,13/08/2021,0
RO-01854,10/08/2021,0
RO-01857,11/08/2021,0
RO-01858,12/08/2021,0
RO-01860,23/08/2021,2
RO-01861,27/08/2021,0
RO-01862,24/08/2021,1
RO-01866,17/06/2021,0
RO-01867,21/06/2021,0
RO-01869,17/08/2021,0
RO-01870,31/08/2021,1
RO-01871,19/08/2021,1
RO-01872,24/06/2021,0
RO-01873,23/07/2021,0
RO-01874,28/06/2021,0
RO-01875,04/08/2021,0
RO-01876,02/07/2021,0
RO-01877,01/07/2021,0
RO-01879,01/09/2021,2
RO-01882,13/07/2021,0
RO-01884,02/09/2021,0
RO-01885,12/07/2021,0
RO-01887,09/09/2021,0
RO-01888,09/09/2021,0
RO-01892,17/09/2021,0
RO-01893,15/09/2021,0
RO-01894,14/09/2021,1
RO-01896,22/09/2021,1
RO-01897,21/09/2021,2
RO-01898,23/09/2021,0
RO-01899,21/09/2021,2
RO-01900,29/09/2021,0
RO-01901,29/09/2021,1
RO-01902,27/07/2021,0
RO-01903,22/07/2021,0
RO-01904,29/07/2021,0
RO-01905,05/08/2021,0
RO-01906,28/09/2021,0
RO-01907,10/08/2021,0
RO-01909,05/07/2021,0
RO-01911,09/08/2021,0
RO-01912,07/09/2021,1
RO-01913,14/09/2021,0
RO-01914,21/09/2021,0
RO-01915,28/09/2021,0
RO-01916,12/08/2021,0
RO-01917,31/08/2021,0
RO-01918,16/08/2021,0
RO-01919,19/08/2021,0
RO-01921,23/08/2021,0
RO-01922,06/10/2021,0
RO-01923,08/10/2021,0
RO-01925,13/10/2021,0
RO-01926,15/10/2021,3
RO-01927,13/10/2021,0
RO-01929,14/10/2021,0
RO-01930,18/10/2021,0
RO-01933,26/10/2021,0
RO-01935,26/10/2021,0
RO-01937,26/08/2021,0
RO-01938,31/08/2021,0
RO-01939,14/10/2021,0
RO-01940,30/08/2021,0
RO-01941,14/09/2021,0
RO-01943,02/09/2021,0
RO-01944,06/09/2021,0
RO-01945,07/09/2021,0
RO-01946,09/09/2021,0
RO-01947,02/10/2021,0
RO-01949,13/09/2021,0
RO-01950,16/09/2021,0
RO-01951,12/10/2021,0
RO-01952,20/09/2021,0
RO-01953,04/11/2021,0
RO-01954,11/11/2021,0
RO-01956,25/11/2021,0
RO-01957,17/11/2021,0
RO-01958,23/11/2021,0
RO-01959,24/11/2021,0
RO-01961,23/11/2021,3
RO-01963,30/11/2021,1
