OPTYPE,ROID,N_FX_STAFF,DATE
NRO,RO-01370,0,2020-02-24
CRO,RO-01338,1,2020-02-25
NRO,RO-01354,0,2020-02-25
JRO,RO-01233,0,2020-02-26
JRO,RO-01289,1,2020-02-26
NRO,RO-01298,1,2020-02-27
NRO,RO-01363,0,2020-02-27
NRO,RO-01351,0,2020-03-02
JRO,RO-01180,1,2020-03-03
CRO,RO-01281,1,2020-03-03
CRO,RO-01342,1,2020-03-03
JRO,RO-01220,1,2020-03-04
CRO,RO-01195,1,2020-03-05
NRO,RO-01305,0,2020-03-05
NRO,RO-01365,1,2020-03-05
JRO,RO-01314,0,2020-03-10
CRO,RO-01343,0,2020-03-10
NRO,RO-01212,0,2020-03-11
NRO,RO-01347,0,2020-03-11
NRO,RO-01357,0,2020-03-18
NRO,RO-01315,0,2020-03-24
NRO,RO-01211,0,2020-05-07
NRO,RO-01326,0,2020-05-26
NRO,RO-01405,0,2020-06-04
JRO,RO-01421,0,2020-06-10
NRO,RO-01306,0,2020-06-15
NRO,RO-01425,0,2020-06-15
NRO,RO-01430,0,2020-06-16
NRO,RO-01401,0,2020-06-18
NRO,RO-01328,0,2020-06-23
NRO,RO-01429,0,2020-06-30
JRO,RO-01436,0,2020-07-02
JRO,RO-01437,0,2020-07-08
JRO,RO-01186,0,2020-07-14
NRO,RO-01434,0,2020-07-15
NRO,RO-01420,0,2020-07-16
NRO,RO-01442,0,2020-07-16
NRO,RO-01456,0,2020-07-16
NRO,RO-01463,0,2020-07-16
NRO,RO-01409,0,2020-07-20
NRO,RO-01426,0,2020-07-22
NRO,RO-01446,0,2020-07-22
NRO,RO-01464,0,2020-07-22
NRO,RO-01461,0,2020-07-23
NRO,RO-01462,0,2020-07-24
NRO,RO-01467,0,2020-07-27
NRO,RO-01428,0,2020-07-28
NRO,RO-01435,0,2020-07-30
NRO,RO-01465,0,2020-07-30
NRO,RO-01472,0,2020-07-30
NRO,RO-01474,0,2020-08-03
JRO,RO-01460,0,2020-08-04
NRO,RO-01475,0,2020-08-06
NRO,RO-01481,0,2020-08-06
NRO,RO-01468,0,2020-08-07
NRO,RO-01480,0,2020-08-10
NRO,RO-01457,0,2020-08-11
