RO-ID,Date,MS/SAC,TOTAL PAID
RO-01690,31/03/2021,DEU,"€                                                    9 3,656.29"
RO-01774,01/04/2021,ITA,"€                                                    7 2,316.00"
RO-01734,06/04/2021,FRA,"€                                                    4 4,035.12"
RO-01734,06/04/2021,LUX,"€                                                      2,317.18"
RO-01710,07/04/2021,DEU,"€                                                  4 02,919.85"
RO-01709,08/04/2021,DEU,"€                                                  1 07,157.06"
RO-01709,08/04/2021,FRA,"€                                                      4,073.33"
RO-01709,08/04/2021,ITA,"€                                                    3 5,249.00"
RO-01673,08/04/2021,AUT,"€                                                      5,248.97"
RO-01673,08/04/2021,BEL,€                                                           47.65
RO-01775,08/04/2021,ITA,"€                                                    8 0,749.50"
RO-01735,13/04/2021,FRA,"€                                                    4 3,450.06"
RO-01735,13/04/2021,BEL,€                                                         103.22
RO-01712,13/04/2021,DEU,"€                                                    8 2,796.81"
RO-01776,13/04/2021,ITA,"€                                                    8 5,850.00"
RO-01713,14/04/2021,ESP,"€                                                  1 95,975.96"
RO-01713,14/04/2021,DEU,"€                                                    1 4,577.68"
RO-01711,14/04/2021,DEU,"€                                                  1 06,283.33"
RO-01711,14/04/2021,FRA,"€                                                    1 0,483.76"
RO-01714,14/04/2021,AUT,"€                                                    1 4,686.41"
RO-01714,14/04/2021,CHE,"€                                                    1 6,219.66"
RO-01714,14/04/2021,SWE,"€                                                    3 4,577.04"
RO-01714,14/04/2022,GRC,€                                                              -
RO-01782,15/04/2021,ITA,"€                                                    8 0,396.00"
RO-01726,15/04/2021,DEU,"€                                                    7 6,288.42"
RO-01783,19/04/2021,ITA,"€                                                    8 0,295.00"
RO-01733,20/04/2021,FRA,"€                                                    4 4,052.19"
RO-01727,20/04/2021,DEU,"€                                                  3 28,018.44"
RO-01717,21/04/2021,DEU,"€                                                    7 8,505.81"
RO-01784,22/04/2021,ITA,"€                                                    8 0,396.00"
RO-01715,22/04/2021,DEU,"€                                                    8 7,546.34"
RO-01715,22/04/2021,BEL,€                                                         113.12
RO-01802,26/04/2021,ITA,"€                                                    7 8,780.00"
RO-01785,27/04/2021,ITA,"€                                                    9 2,920.00"
RO-01741,27/04/2021,FRA,"€                                                    4 5,155.08"
RO-01720,28/04/2021,DEU,"€                                                  2 00,800.20"
RO-01721,29/04/2021,AUT,"€                                                    1 7,484.11"
RO-01721,29/04/2022,GRC,€                                                              -
RO-01719,29/04/2021,DEU,"€                                                    6 8,376.60"
RO-01719,29/04/2021,FRA,"€                                                    1 1,286.67"
RO-01807,03/05/2021,ITA,"€                                                    8 0,699.00"
RO-ID,Date,MS/SAC,TOTAL PAID
RO-01778,04/05/2021,FRA,"€                                                    4 4,730.88"
RO-01699,06/05/2021,AUT,"€                                                      6,723.57"
RO-01750,06/05/2021,DEU,"€                                                  1 06,893.88"
RO-01750,06/05/2021,ITA,"€                                                    3 8,784.00"
RO-01815,10/05/2021,ITA,"€                                                    7 2,265.50"
RO-01779,11/05/2021,FRA,"€                                                    3 9,876.50"
RO-01771,11/05/2021,GRC,€                                                              -
RO-01769,11/05/2021,DEU,"€                                                    8 3,613.15"
RO-01753,11/05/2021,DEU,"€                                                    6 3,016.00"
RO-01753,11/05/2021,SWE,€                                                              -
RO-01839,17/05/2021,ITA,"€                                                    5 1,510.00"
RO-01757,17/05/2021,DEU,"€                                                    8 7,714.70"
RO-01780,18/05/2021,FRA,"€                                                    4 1,891.89"
RO-01770,18/05/2021,SWE,"€                                                  5 73,017.35"
RO-01770,18/05/2021,ROU,€                                                         997.13
RO-01770,18/05/2021,BGR,"€                                                      5,246.95"
RO-01770,18/05/2021,AUT,"€                                                      7,939.61"
RO-01770,18/05/2021,FIN,"€                                                    1 9,957.60"
RO-01766,18/05/2021,DEU,"€                                                    9 8,944.01"
RO-01756,18/05/2021,DEU,"€                                                  3 58,587.72"
RO-01758,19/05/2021,DEU,"€                                                    8 3,063.35"
RO-01759,20/05/2021,DEU,"€                                                  1 71,740.18"
RO-01759,20/05/2021,BEL,€                                                         668.38
RO-01755,20/05/2021,DEU,"€                                                  1 01,754.29"
RO-01755,20/05/2021,ITA,"€                                                    3 0,199.00"
RO-01837,21/05/2021,ITA,"€                                                    5 4,439.00"
RO-01840,24/05/2021,ITA,"€                                                    4 7,762.90"
RO-01781,25/05/2021,FRA,"€                                                    4 5,180.01"
