ROID,RO Date,Observer,Frontex representative on board
RO-01791,15/06/2021,0,1
RO-01812,15/06/2021,3,0
RO-01816,15/06/2021,0,0
RO-01708,16/06/2021,4,1
RO-01793,16/06/2021,0,0
RO-01801,16/06/2021,0,0
RO-01794,17/06/2021,0,1
RO-01866,17/06/2021,0,0
RO-01867,21/06/2021,0,0
RO-01795,22/06/2021,0,0
RO-01798,22/06/2021,3,1
RO-01813,22/06/2021,3,0
RO-01796,24/06/2021,0,0
RO-01872,24/06/2021,0,0
RO-01797,25/06/2021,0,0
RO-01799,28/06/2021,0,0
RO-01874,28/06/2021,0,0
RO-01814,29/06/2021,0,1
RO-01800,01/07/2021,0,0
RO-01803,01/07/2021,0,1
RO-01808,01/07/2021,0,0
RO-01848,01/07/2021,0,0
RO-01877,01/07/2021,0,0
RO-01876,02/07/2021,0,0
RO-01909,05/07/2021,0,0
ROID,RO Date,Observer,Frontex representative on board
RO-01817,06/07/2021,3,1
RO-01841,06/07/2021,1,1
RO-01818,07/07/2021,0,0
RO-01885,12/07/2021,0,0
RO-01823,13/07/2021,0,1
RO-01882,13/07/2021,0,0
RO-01821,14/07/2021,0,0
RO-01820,15/07/2021,0,0
RO-01822,15/07/2021,2,1
RO-01842,15/07/2021,0,0
RO-01825,20/07/2021,4,1
RO-01827,20/07/2021,2,0
RO-01844,20/07/2021,0,1
RO-01829,22/07/2021,0,0
RO-01903,22/07/2021,0,0
RO-01873,23/07/2021,0,0
RO-01830,27/07/2021,1,1
RO-01845,27/07/2021,0,0
RO-01902,27/07/2021,0,0
RO-01832,28/07/2021,1,1
RO-01835,29/07/2021,2,0
RO-01904,29/07/2021,0,0
RO-01834,30/07/2021,0,0
RO-01868,03/08/2021,3,0
RO-01875,04/08/2021,0,0
RO-01905,05/08/2021,0,0
RO-01911,09/08/2021,0,0
RO-01854,10/08/2021,0,0
RO-01907,10/08/2021,1,0
RO-01857,11/08/2021,1,0
RO-01858,12/08/2021,2,0
RO-01916,12/08/2021,0,0
RO-01853,13/08/2021,0,0
RO-01918,16/08/2021,0,0
RO-01869,17/08/2021,0,0
RO-01871,19/08/2021,0,1
RO-01919,19/08/2021,0,0
RO-01860,23/08/2021,0,2
RO-01921,23/08/2021,0,0
RO-01862,24/08/2021,1,1
RO-01937,26/08/2021,0,0
RO-01861,27/08/2021,0,0
RO-01940,30/08/2021,0,0
RO-01870,31/08/2021,5,1
ROID,RO Date,Observer,Frontex representative on board
RO-01917,31/08/2021,1,0
RO-01938,31/08/2021,0,0
RO-01879,01/09/2021,1,2
RO-01884,02/09/2021,0,0
RO-01943,02/09/2021,0,0
RO-01944,06/09/2021,0,0
RO-01912,07/09/2021,1,1
RO-01945,07/09/2021,0,0
RO-01887,09/09/2021,3,0
RO-01888,09/09/2021,2,0
RO-01946,09/09/2021,0,0
RO-01949,13/09/2021,0,0
RO-01894,14/09/2021,1,1
RO-01913,14/09/2021,3,0
RO-01941,14/09/2021,0,0
RO-01893,15/09/2021,0,0
RO-01950,16/09/2021,0,0
RO-01892,17/09/2021,0,0
RO-01952,20/09/2021,0,0
RO-01897,21/09/2021,0,2
RO-01899,21/09/2021,0,2
RO-01914,21/09/2021,0,0
RO-01896,22/09/2021,1,1
RO-01898,23/09/2021,2,0
RO-01965,23/09/2021,0,0
RO-01970,24/09/2021,0,0
RO-01980,27/09/2021,0,0
RO-01906,28/09/2021,0,0
RO-01915,28/09/2021,3,0
RO-01900,29/09/2021,0,0
RO-01901,29/09/2021,0,1
RO-01984,30/09/2021,0,0
RO-01985,01/10/2021,0,0
RO-01947,02/10/2021,0,0
RO-01969,05/10/2021,3,0
RO-01922,06/10/2021,0,0
RO-01987,07/10/2021,0,0
RO-01923,08/10/2021,0,0
RO-01989,09/10/2021,0,0
RO-01992,11/10/2021,0,0
RO-01951,12/10/2021,0,0
RO-01968,12/10/2021,3,0
RO-01986,12/10/2021,2,2
RO-01925,13/10/2021,1,0
ROID,RO Date,Observer,Frontex representative on board
RO-01927,13/10/2021,1,0
RO-01929,14/10/2021,0,0
RO-01939,14/10/2021,0,0
RO-01993,14/10/2021,0,0
RO-01926,15/10/2021,2,2
RO-01930,18/10/2021,1,0
RO-02003,18/10/2021,0,0
