"",,MSPMS/OMS,Escort LeadersEscorts,"Monitors from PoolMonitors national(MS)",,,
RO-01768,22/03/2021,Italy,OMS,2,71,0,0
RO-01685,23/03/2021,Spain,OMS,1,148,4,0
RO-01685,23/03/2021,Portugal,PMS,1,2,0,0
RO-01685,23/03/2021,Sweden,PMS,1,8,0,0
RO-01685,23/03/2021,Poland,PMS,1,2,0,0
RO-01686,23/03/2021,Germany,OMS,1,75,0,1
RO-01686,23/03/2021,Sweden,PMS,1,5,0,0
RO-01687,23/03/2021,Germany,OMS,1,73,0,0
RO-01745,23/03/2021,France,OMS,1,27,0,0
RO-01732,24/03/2021,Germany,OMS,1,70,0,0
RO-01684,25/03/2021,Germany,OMS,1,18,0,1
RO-01684,25/03/2021,Italy,PMS,0,0,0,0
RO-01772,25/03/2021,Italy,OMS,2,78,0,0
RO-01702,29/03/2021,Germany,OMS,1,77,0,1
RO-01702,29/03/2021,Norway,PMS,1,2,0,0
RO-01773,29/03/2021,Italy,OMS,2,58,0,0
RO-01689,30/03/2021,Germany,OMS,1,80,0,0
RO-01689,30/03/2021,Switzerland,PMS,1,13,0,0
RO-01691,30/03/2021,Sweden,OMS,2,30,1,0
RO-01691,30/03/2021,Austria,PMS,1,33,1,0
RO-01691,30/03/2021,Bulgaria,PMS,1,2,0,0
RO-01691,30/03/2021,Romania,PMS,1,5,0,0
RO-01691,30/03/2021,Hungary,PMS,1,6,0,0
RO-01749,30/03/2021,France,OMS,1,29,0,0
RO-01690,31/03/2021,Germany,OMS,1,77,0,0
RO-01703,31/03/2021,Germany,OMS,1,90,0,0
RO-01774,01/04/2021,Italy,OMS,2,76,0,0
RO-01734,06/04/2021,France,OMS,1,44,0,1
RO-01734,06/04/2021,Luxembourg,PMS,0,0,0,0
RO-01710,07/04/2021,Germany,OMS,1,78,0,0
RO-01673,08/04/2021,Austria,OMS,1,38,1,0
RO-01673,08/04/2021,Belgium,PMS,1,8,0,0
RO-01709,08/04/2021,Germany,OMS,0,0,1,1
RO-01709,08/04/2021,France,PMS,0,0,0,0
RO-01709,08/04/2021,Italy,PMS,0,0,0,0
RO-01775,08/04/2021,Italy,OMS,2,81,0,0
RO-01712,13/04/2021,Germany,OMS,1,44,0,0
RO-01735,13/04/2021,France,OMS,1,47,0,1
RO-01735,13/04/2021,Belgium,PMS,0,0,0,0
RO-01776,13/04/2021,Italy,OMS,1,58,0,0
RO-01711,14/04/2021,Germany,OMS,1,73,0,0
RO-01711,14/04/2021,France,PMS,0,5,0,0
RO-01711,14/04/2021,France,PMS,0,4,0,0
RO-01713,14/04/2021,Spain,OMS,1,60,0,0
RO-01713,14/04/2021,Germany,PMS,1,33,0,0
RO-01714,14/04/2021,Austria,OMS,1,19,1,0
RO-01714,14/04/2021,Switzerland,PMS,1,4,1,0
RO-01714,14/04/2021,Sweden,PMS,1,4,0,0
RO-01714,14/04/2021,Greece,PMS,1,31,0,0
RO-01726,15/04/2021,Germany,OMS,1,60,0,1
RO-01782,15/04/2021,Italy,OMS,2,65,0,0
RO-01783,19/04/2021,Italy,OMS,2,90,0,0
RO-01727,20/04/2021,Germany,OMS,1,112,0,0
RO-01733,20/04/2021,France,OMS,0,49,0,1
RO-01717,21/04/2021,Germany,OMS,1,62,0,0
RO-01715,22/04/2021,Germany,OMS,1,43,0,1
RO-01715,22/04/2021,Belgium,PMS,1,2,0,0
RO-01784,22/04/2021,Italy,OMS,2,97,2,0
RO-01802,26/04/2021,Italy,OMS,2,89,0,0
RO-01741,27/04/2021,France,OMS,1,31,0,0
RO-01785,27/04/2021,Italy,OMS,2,106,2,0
RO-01720,28/04/2021,Germany,OMS,1,75,0,2
RO-01719,29/04/2021,Germany,OMS,1,66,0,0
RO-01719,29/04/2021,France,PMS,0,6,0,0
RO-01719,29/04/2021,France,PMS,0,3,0,0
RO-01721,29/04/2021,Austria,OMS,1,25,1,0
RO-01721,29/04/2021,Greece,PMS,1,6,0,0
RO-01807,03/05/2021,Italy,OMS,1,62,0,0
RO-01778,04/05/2021,France,OMS,1,33,0,0
RO-01699,06/05/2021,Austria,OMS,1,34,1,0
RO-01750,06/05/2021,Germany,OMS,1,28,0,1
RO-01750,06/05/2021,Italy,PMS,0,0,0,0
RO-01815,10/05/2021,Italy,OMS,1,45,0,0
RO-01753,11/05/2021,Germany,OMS,1,61,0,0
RO-01753,11/05/2021,Sweden,PMS,1,4,0,0
RO-01753,11/05/2021,Sweden,PMS,1,1,0,0
RO-01769,11/05/2021,Germany,OMS,1,76,0,1
RO-01771,11/05/2021,Greece,OMS,1,29,0,0
RO-01779,11/05/2021,France,OMS,1,41,0,1
RO-01757,17/05/2021,Germany,OMS,1,42,0,0
RO-01839,17/05/2021,Italy,OMS,2,52,0,0
RO-01756,18/05/2021,Germany,OMS,1,116,0,0
RO-01766,18/05/2021,Germany,OMS,1,67,0,1
RO-01770,18/05/2021,Sweden,OMS,2,26,1,0
RO-01770,18/05/2021,Romania,PMS,1,27,0,0
RO-01770,18/05/2021,Bulgaria,PMS,1,4,0,0
RO-01770,18/05/2021,Austria,PMS,1,31,1,0
RO-01770,18/05/2021,Finland,PMS,1,5,1,0
RO-01780,18/05/2021,France,OMS,1,44,0,1
RO-01758,19/05/2021,Germany,OMS,1,72,0,0
RO-01755,20/05/2021,Germany,OMS,1,28,0,1
RO-01755,20/05/2021,Italy,PMS,0,0,0,0
RO-01759,20/05/2021,Germany,OMS,1,63,0,0
RO-01759,20/05/2021,Belgium,PMS,1,2,0,0
RO-01759,20/05/2021,Netherlands,PMS,0,0,0,0
RO-01837,21/05/2021,Italy,OMS,2,46,0,0
RO-01840,24/05/2021,Italy,OMS,2,47,0,0
RO-01781,25/05/2021,France,OMS,1,43,0,1
RO-01760,26/05/2021,Germany,OMS,1,91,0,0
RO-01760,26/05/2021,Hungary,PMS,1,4,0,0
RO-01760,26/05/2021,Austria,PMS,1,45,1,0
RO-01806,26/05/2021,Spain,OMS,1,50,2,0
RO-01806,26/05/2021,Germany,PMS,1,32,0,0
RO-01806,26/05/2021,Germany,PMS,0,2,0,0
RO-01786,27/05/2021,Germany,OMS,1,83,1,1
RO-01786,27/05/2021,Sweden,PMS,1,2,0,0
RO-01843,27/05/2021,Italy,OMS,2,86,0,0
RO-01762,01/06/2021,Germany,OMS,1,83,0,0
RO-01763,01/06/2021,Germany,OMS,1,73,0,0
RO-01764,01/06/2021,Germany,OMS,1,39,0,1
RO-01809,01/06/2021,France,OMS,1,43,0,1
RO-01787,02/06/2021,Germany,OMS,1,79,0,0
RO-01838,02/06/2021,Belgium,OMS,1,15,2,0
RO-01838,02/06/2021,Switzerland,PMS,1,7,1,0
RO-01847,04/06/2021,Italy,OMS,2,67,2,0
RO-01849,07/06/2021,Italy,OMS,2,52,0,0
RO-01789,08/06/2021,Germany,OMS,1,119,0,0
RO-01810,08/06/2021,France,OMS,1,44,0,1
RO-01805,09/06/2021,Germany,OMS,1,83,0,0
RO-01805,09/06/2021,Austria,PMS,1,2,1,0
RO-01805,09/06/2021,Switzerland,PMS,1,25,1,0
RO-01788,10/06/2021,Germany,OMS,1,28,0,1
RO-01788,10/06/2021,Italy,PMS,0,0,0,0
RO-01851,14/06/2021,Italy,OMS,1,49,0,0
RO-01790,15/06/2021,Germany,OMS,1,66,0,1
RO-01791,15/06/2021,Sweden,OMS,2,20,1,0
RO-01791,15/06/2021,Bulgaria,PMS,1,4,0,0
RO-01791,15/06/2021,Romania,PMS,1,43,1,0
RO-01791,15/06/2021,Austria,PMS,1,19,1,0
RO-01812,15/06/2021,France,OMS,1,44,0,1
RO-01816,15/06/2021,Greece,OMS,1,55,1,0
RO-01816,15/06/2021,Austria,PMS,1,8,1,0
RO-01816,15/06/2021,Austria,PMS,0,11,0,0
RO-01816,15/06/2021,Czech Republic,PMS,1,2,0,0
RO-01708,16/06/2021,Poland,OMS,1,39,0,0
RO-01708,16/06/2021,Hungary,PMS,1,3,0,0
RO-01708,16/06/2021,Czech Republic,PMS,1,11,0,0
RO-01708,16/06/2021,Lithuania,PMS,1,2,0,0
RO-01708,16/06/2021,Sweden,PMS,1,10,0,0
RO-01708,16/06/2021,Norway,PMS,1,5,0,0
RO-01793,16/06/2021,Germany,OMS,1,69,0,1
RO-01801,16/06/2021,Spain,OMS,1,96,3,0
RO-01801,16/06/2021,Luxembourg,PMS,2,2,1,0
RO-01801,16/06/2021,Switzerland,PMS,1,3,0,0
RO-01794,17/06/2021,Germany,OMS,1,65,0,1
RO-01866,17/06/2021,Italy,OMS,2,45,0,0
RO-01867,21/06/2021,Italy,OMS,1,101,0,0
RO-01795,22/06/2021,Germany,OMS,1,87,0,1
RO-01798,22/06/2021,Germany,OMS,1,107,0,1
RO-01798,22/06/2021,Spain,PMS,1,26,0,0
RO-01798,22/06/2021,Hungary,PMS,1,4,0,0
RO-01798,22/06/2021,Austria,PMS,1,16,1,0
RO-01813,22/06/2021,France,OMS,1,44,0,1
RO-01796,24/06/2021,Germany,OMS,1,68,0,1
RO-01872,24/06/2021,Italy,OMS,2,30,0,0
RO-01797,25/06/2021,Germany,OMS,1,35,0,0
RO-01797,25/06/2021,Austria,PMS,1,9,1,0
RO-01799,28/06/2021,Germany,OMS,1,93,0,0
RO-01874,28/06/2021,Italy,OMS,2,36,0,0
RO-01814,29/06/2021,France,OMS,0,48,0,1
RO-01800,01/07/2021,Germany,OMS,3,28,0,1
RO-01800,01/07/2021,Italy,PMS,0,0,0,0
RO-01803,01/07/2021,Germany,OMS,1,50,0,0
RO-01808,01/07/2021,Germany,OMS,1,70,0,1
RO-01848,01/07/2021,France,OMS,1,25,0,0
RO-01877,01/07/2021,Italy,OMS,1,45,0,0
RO-01876,02/07/2021,Italy,OMS,2,55,0,0
RO-01909,05/07/2021,Italy,OMS,2,79,0,0
RO-01817,06/07/2021,France,OMS,1,44,0,1
RO-01841,06/07/2021,Germany,OMS,1,101,0,0
RO-01818,07/07/2021,Spain,OMS,1,52,0,0
RO-01818,07/07/2021,Luxembourg,PMS,1,8,0,0
RO-01818,07/07/2021,Luxembourg,PMS,1,9,1,0
RO-01885,12/07/2021,Italy,OMS,2,38,0,0
RO-01823,13/07/2021,Germany,OMS,1,61,0,1
RO-01882,13/07/2021,Italy,OMS,1,58,0,0
RO-01821,14/07/2021,Germany,OMS,1,65,0,1
RO-01820,15/07/2021,Germany,OMS,1,67,0,1
RO-01822,15/07/2021,Germany,OMS,1,28,0,1
RO-01842,15/07/2021,Austria,OMS,1,40,1,0
RO-01842,15/07/2021,Germany,PMS,1,7,0,0
RO-01825,20/07/2021,France,OMS,1,44,0,1
RO-01827,20/07/2021,Germany,OMS,1,69,0,1
RO-01844,20/07/2021,Greece,OMS,1,40,1,0
RO-01829,22/07/2021,Germany,OMS,1,32,0,0
RO-01903,22/07/2021,Italy,OMS,1,60,0,0
RO-01873,23/07/2021,Germany,OMS,1,69,0,1
RO-01830,27/07/2021,Germany,OMS,1,107,0,1
RO-01830,27/07/2021,Austria,PMS,1,29,1,0
RO-01845,27/07/2021,Germany,OMS,1,46,0,1
RO-01902,27/07/2021,Italy,OMS,1,58,0,0
RO-01832,28/07/2021,Germany,OMS,1,94,0,1
RO-01835,29/07/2021,Germany,OMS,1,28,0,1
RO-01904,29/07/2021,Italy,OMS,2,57,0,0
RO-01834,30/07/2021,Germany,OMS,1,42,0,0
RO-01868,03/08/2021,France,OMS,1,44,0,2
RO-01875,04/08/2021,Germany,OMS,1,56,0,2
RO-01905,05/08/2021,Italy,OMS,2,50,0,0
RO-01911,09/08/2021,Italy,OMS,2,41,0,0
RO-01854,10/08/2021,Germany,OMS,1,49,0,1
RO-01907,10/08/2021,France,OMS,1,44,1,0
RO-01857,11/08/2021,Germany,OMS,1,30,0,2
RO-01858,12/08/2021,Germany,OMS,1,28,0,1
RO-01858,12/08/2021,Italy,PMS,0,0,0,0
RO-01916,12/08/2021,Italy,OMS,2,88,0,0
RO-01853,13/08/2021,Germany,OMS,1,37,0,1
RO-01918,16/08/2021,Italy,OMS,2,45,0,0
RO-01869,17/08/2021,France,OMS,2,44,0,1
RO-01871,19/08/2021,Austria,OMS,1,26,1,0
RO-01919,19/08/2021,Italy,OMS,1,52,0,0
RO-01860,23/08/2021,Germany,OMS,1,97,0,2
RO-01921,23/08/2021,Italy,OMS,1,46,0,0
RO-01862,24/08/2021,Germany,OMS,1,100,0,1
RO-01862,24/08/2021,Austria,PMS,1,29,1,0
RO-01937,26/08/2021,Italy,OMS,1,73,0,0
RO-01861,27/08/2021,Germany,OMS,1,39,0,1
RO-01940,30/08/2021,Italy,OMS,2,64,0,0
RO-01870,31/08/2021,France,OMS,1,40,0,1
RO-01870,31/08/2021,Belgium,PMS,0,0,0,0
RO-01917,31/08/2021,Germany,OMS,1,81,0,1
RO-01938,31/08/2021,Italy,OMS,2,45,2,0
RO-01879,01/09/2021,Austria,OMS,1,21,1,0
RO-01879,01/09/2021,Greece,PMS,1,19,1,0
RO-01884,02/09/2021,Germany,OMS,1,70,0,0
RO-01943,02/09/2021,Italy,OMS,2,88,0,0
RO-01944,06/09/2021,Italy,OMS,1,67,0,0
RO-01912,07/09/2021,France,OMS,1,44,0,2
RO-01945,07/09/2021,Italy,OMS,3,67,2,0
RO-01887,09/09/2021,Austria,OMS,1,23,1,0
RO-01887,09/09/2021,Greece,PMS,1,15,1,0
RO-01887,09/09/2021,Czech Republic,PMS,1,2,0,0
RO-01888,09/09/2021,Germany,OMS,1,28,0,1
RO-01946,09/09/2021,Italy,OMS,2,50,0,0
RO-01949,13/09/2021,Italy,OMS,1,27,0,0
RO-01894,14/09/2021,Germany,OMS,1,53,0,1
RO-01913,14/09/2021,France,OMS,0,45,0,1
RO-01941,14/09/2021,Germany,OMS,1,55,0,1
RO-01893,15/09/2021,Germany,OMS,1,69,0,1
RO-01950,16/09/2021,Italy,OMS,2,64,0,0
RO-01892,17/09/2021,Germany,OMS,1,53,0,1
RO-01952,20/09/2021,Italy,OMS,1,87,2,0
RO-01897,21/09/2021,Germany,OMS,1,127,0,1
RO-01897,21/09/2021,Austria,PMS,1,36,1,0
RO-01897,21/09/2021,Lithuania,PMS,1,2,0,0
RO-01897,21/09/2021,Bulgaria,PMS,1,4,0,0
RO-01897,21/09/2021,Czech Republic,PMS,1,2,0,0
RO-01897,21/09/2021,Poland,PMS,1,3,0,0
RO-01899,21/09/2021,Germany,OMS,1,89,0,1
RO-01899,21/09/2021,Bulgaria,PMS,1,2,0,0
RO-01914,21/09/2021,France,OMS,1,43,0,1
RO-01896,22/09/2021,Spain,OMS,1,112,3,0
RO-01896,22/09/2021,Hungary,PMS,1,2,0,0
RO-01898,23/09/2021,Germany,OMS,1,31,0,1
RO-01965,23/09/2021,Italy,OMS,2,35,0,0
RO-01970,24/09/2021,Italy,OMS,1,92,0,0
RO-01980,27/09/2021,Italy,OMS,2,86,0,0
RO-01906,28/09/2021,Austria,OMS,1,26,1,0
RO-01906,28/09/2021,Germany,PMS,1,44,0,0
RO-01906,28/09/2021,Belgium,PMS,1,1,2,0
RO-01915,28/09/2021,France,OMS,1,45,0,1
RO-01900,29/09/2021,Germany,OMS,1,66,0,1
RO-01901,29/09/2021,Germany,OMS,1,57,0,2
RO-01984,30/09/2021,Italy,OMS,3,79,0,0
RO-01985,01/10/2021,Italy,OMS,2,65,0,0
RO-01947,02/10/2021,Italy,OMS,2,88,3,0
RO-01969,05/10/2021,France,OMS,1,46,1,0
RO-01922,06/10/2021,Spain,OMS,1,71,2,0
RO-01987,07/10/2021,Italy,OMS,1,97,0,0
RO-01923,08/10/2021,Germany,OMS,1,49,0,1
RO-01989,09/10/2021,Italy,OMS,1,69,2,0
RO-01992,11/10/2021,Italy,OMS,1,60,0,0
RO-01951,12/10/2021,Germany,OMS,1,56,0,0
RO-01968,12/10/2021,France,OMS,1,46,0,1
RO-01968,12/10/2021,Belgium,PMS,0,0,0,0
RO-01986,12/10/2021,Austria,OMS,1,38,1,0
RO-01986,12/10/2021,Norway,PMS,1,7,0,0
RO-01925,13/10/2021,Germany,OMS,1,68,0,1
RO-01927,13/10/2021,Germany,OMS,1,57,0,2
RO-01929,14/10/2021,Germany,OMS,1,46,0,2
RO-01939,14/10/2021,France,OMS,1,17,0,1
RO-01993,14/10/2021,Italy,OMS,2,55,0,0
RO-01926,15/10/2021,Germany,OMS,1,48,0,1
RO-01930,18/10/2021,Germany,OMS,1,90,0,1
RO-02003,18/10/2021,Italy,OMS,2,84,0,0
RO-01966,19/10/2021,France,OMS,1,43,0,1
RO-01931,21/10/2021,Germany,OMS,1,28,0,2
RO-02004,21/10/2021,Italy,OMS,1,46,0,0
RO-02005,22/10/2021,Italy,OMS,1,95,0,0
RO-01933,26/10/2021,Germany,OMS,1,87,0,1
RO-01935,26/10/2021,Germany,OMS,1,96,0,1
RO-01935,26/10/2021,Austria,PMS,1,16,1,0
RO-01935,26/10/2021,Romania,PMS,1,3,0,0
RO-01967,26/10/2021,France,OMS,1,44,0,1
RO-02006,28/10/2021,Italy,OMS,2,59,0,0
RO-02011,01/11/2021,Italy,OMS,1,68,0,0
RO-01998,03/11/2021,France,OMS,1,44,0,1
RO-01953,04/11/2021,Germany,OMS,1,28,0,1
RO-01953,04/11/2021,Italy,PMS,0,0,0,0
RO-01974,04/11/2021,Austria,OMS,1,33,1,0
RO-02012,04/11/2021,Italy,OMS,2,53,0,0
RO-01981,08/11/2021,Germany,OMS,1,53,0,1
RO-01981,08/11/2021,Spain,PMS,1,3,0,0
RO-01994,09/11/2021,France,OMS,1,44,0,2
RO-01994,09/11/2021,Belgium,PMS,0,0,0,0
RO-01971,10/11/2021,Germany,OMS,1,54,0,1
RO-01971,10/11/2021,Sweden,PMS,1,9,0,0
RO-01990,10/11/2021,France,OMS,1,28,0,1
RO-01954,11/11/2021,Germany,OMS,1,102,0,1
RO-01954,11/11/2021,Austria,PMS,1,23,1,0
RO-01954,11/11/2021,Romania,PMS,1,19,1,0
RO-02013,11/11/2021,Italy,OMS,2,68,0,0
RO-02022,15/11/2021,Italy,OMS,1,94,2,0
RO-01983,16/11/2021,Germany,OMS,1,62,0,2
RO-01995,16/11/2021,France,OMS,1,42,0,1
RO-01957,17/11/2021,Germany,OMS,1,39,0,2
RO-01957,17/11/2021,Austria,PMS,0,9,0,0
RO-01957,17/11/2021,Austria,PMS,1,7,1,0
RO-01957,17/11/2021,Sweden,PMS,0,5,0,0
RO-01957,17/11/2021,Sweden,PMS,1,7,1,0
RO-01972,18/11/2021,Germany,OMS,1,28,0,1
RO-02028,18/11/2021,Italy,OMS,2,88,0,0
RO-02029,22/11/2021,Italy,OMS,1,86,0,0
RO-01958,23/11/2021,Germany,OMS,1,82,0,0
RO-01961,23/11/2021,Germany,OMS,1,99,0,1
RO-01961,23/11/2021,Austria,PMS,1,26,2,0
RO-01961,23/11/2021,Hungary,PMS,1,4,0,0
RO-01996,23/11/2021,France,OMS,1,46,0,2
RO-01959,24/11/2021,Germany,OMS,1,69,0,1
RO-01956,25/11/2021,Germany,OMS,1,93,0,1
RO-02038,25/11/2021,Italy,OMS,2,84,2,0
RO-02040,29/11/2021,Italy,OMS,2,68,2,0
RO-01963,30/11/2021,Germany,OMS,1,60,0,2
RO-01991,30/11/2021,Germany,OMS,1,81,0,1
RO-01991,30/11/2021,Spain,PMS,1,13,0,0
RO-01997,30/11/2021,France,OMS,1,43,0,1
RO-02020,30/11/2021,Germany,OMS,1,59,0,1
RO-01964,01/12/2021,Spain,OMS,1,54,0,0
RO-02008,01/12/2021,Germany,OMS,1,64,0,1
RO-01973,02/12/2021,Germany,OMS,1,28,0,1
RO-01973,02/12/2021,Sweden,PMS,0,0,0,0
RO-01982,02/12/2021,Austria,OMS,1,18,1,0
RO-02041,02/12/2021,Italy,OMS,1,44,0,0
RO-02010,04/12/2021,Italy,OMS,3,106,2,0
RO-02010,04/12/2021,Slovenia,PMS,1,3,0,0
RO-02042,06/12/2021,Italy,OMS,2,72,0,0
RO-01999,07/12/2021,Germany,OMS,1,55,0,2
RO-02018,07/12/2021,France,OMS,1,39,0,2
RO-01988,08/12/2021,Germany,OMS,1,72,0,1
RO-02048,13/12/2021,Italy,OMS,2,42,0,0
RO-02000,14/12/2021,Germany,OMS,1,59,0,1
RO-02000,14/12/2021,Sweden,PMS,1,3,0,0
RO-02000,14/12/2021,Bulgaria,PMS,1,2,0,0
RO-02001,14/12/2021,Germany,OMS,1,28,0,1
RO-02002,14/12/2021,Germany,OMS,1,96,0,2
RO-02015,14/12/2021,France,OMS,1,42,0,2
RO-01975,15/12/2021,Spain,OMS,1,98,0,0
RO-01975,15/12/2021,Bulgaria,PMS,1,2,0,0
RO-01978,15/12/2021,Germany,OMS,1,60,0,0
RO-02044,15/12/2021,Italy,OMS,2,41,3,0
RO-02007,16/12/2021,Germany,OMS,1,40,0,1
RO-02019,16/12/2021,Germany,OMS,1,54,0,1
RO-02014,20/12/2021,Austria,OMS,1,17,1,0
RO-02014,20/12/2021,Greece,PMS,1,39,1,0
RO-02053,20/12/2021,Italy,OMS,2,61,2,0
RO-01976,21/12/2021,Germany,OMS,1,43,0,1
RO-01979,21/12/2021,Germany,OMS,1,82,0,0
RO-01979,21/12/2021,Bulgaria,PMS,1,2,0,0
RO-02017,21/12/2021,France,OMS,1,43,0,2
RO-02043,22/12/2021,Spain,OMS,0,31,0,0
RO-02016,28/12/2021,France,OMS,0,44,0,1
RO-02016,28/12/2021,Belgium,PMS,0,0,0,0
RO-02065,30/12/2021,Italy,OMS,1,69,2,0
