ROID,RO Date,Observer,Frontex representative on board
RO-01475,06/08/2020,0,0
RO-01481,06/08/2020,0,0
RO-01468,07/08/2020,0,0
RO-01480,10/08/2020,0,0
RO-01457,11/08/2020,0,0
RO-01469,12/08/2020,0,0
RO-01470,12/08/2020,1,0
RO-01484,13/08/2020,0,0
RO-01414,17/08/2020,0,0
RO-01489,17/08/2020,0,0
RO-01283,18/08/2020,0,0
RO-01415,19/08/2020,0,0
RO-01471,19/08/2020,0,0
RO-01438,20/08/2020,0,0
RO-01482,20/08/2020,0,0
RO-01490,20/08/2020,0,0
RO-01495,24/08/2020,0,0
RO-01439,25/08/2020,0,0
RO-01466,26/08/2020,0,0
RO-01485,26/08/2020,0,0
RO-01443,27/08/2020,0,0
RO-01494,27/08/2020,0,0
RO-01515,31/08/2020,0,0
RO-01491,01/09/2020,0,0
RO-01444,02/09/2020,0,0
RO-01478,02/09/2020,0,0
RO-01486,02/09/2020,0,0
RO-01518,03/09/2020,0,0
RO-01284,07/09/2020,0,0
RO-01517,07/09/2020,0,0
RO-01441,10/09/2020,2,0
RO-01487,10/09/2020,0,0
RO-01519,10/09/2020,0,0
RO-01520,14/09/2020,0,0
RO-01492,15/09/2020,0,0
RO-01448,17/09/2020,0,0
RO-01522,17/09/2020,0,0
RO-01546,21/09/2020,0,0
RO-01508,24/09/2020,0,0
ROID,RO Date,Observer,Frontex representative on board
RO-01549,24/09/2020,0,0
RO-01551,24/09/2020,0,0
RO-01544,25/09/2020,0,0
RO-01479,28/09/2020,0,0
RO-01521,28/09/2020,0,0
RO-01553,28/09/2020,0,0
RO-01493,29/09/2020,0,0
RO-01454,30/09/2020,0,0
RO-01458,30/09/2020,2,0
RO-01509,30/09/2020,0,0
RO-01555,01/10/2020,0,0
RO-01557,05/10/2020,0,0
RO-01497,06/10/2020,0,0
RO-01510,06/10/2020,3,0
RO-01498,07/10/2020,0,0
RO-01543,07/10/2020,0,0
RO-01285,08/10/2020,0,0
RO-01559,08/10/2020,0,0
RO-01560,12/10/2020,0,0
RO-01512,13/10/2020,0,0
RO-01565,13/10/2020,0,0
RO-01516,14/10/2020,1,0
RO-01496,15/10/2020,1,0
RO-01564,15/10/2020,0,0
RO-01568,19/10/2020,0,0
RO-01513,20/10/2020,3,0
RO-01571,20/10/2020,0,0
RO-01563,21/10/2020,0,0
RO-01572,22/10/2020,0,0
RO-01576,26/10/2020,0,0
RO-01514,27/10/2020,3,0
RO-01523,27/10/2020,0,1
RO-01393,28/10/2020,0,0
RO-01570,29/10/2020,0,0
RO-01578,29/10/2020,0,0
RO-01524,03/11/2020,3,0
RO-01525,03/11/2020,0,0
RO-01556,04/11/2020,0,0
RO-01526,05/11/2020,0,0
RO-01548,09/11/2020,0,0
RO-01528,10/11/2020,3,0
RO-01530,10/11/2020,2,0
RO-01577,10/11/2020,0,0
RO-01529,11/11/2020,0,0
ROID,RO Date,Observer,Frontex representative on board
RO-01566,11/11/2020,0,0
RO-01547,12/11/2020,0,0
RO-01558,12/11/2020,0,0
RO-01532,17/11/2020,3,1
RO-01552,17/11/2020,0,0
RO-01561,17/11/2020,0,0
RO-01527,18/11/2020,0,0
RO-01533,19/11/2020,0,0
RO-01574,23/11/2020,0,0
RO-01511,24/11/2020,0,0
RO-01537,24/11/2020,3,0
RO-01535,26/11/2020,1,0
RO-01536,26/11/2020,0,0
RO-01542,01/12/2020,0,0
RO-01580,01/12/2020,3,0
RO-01598,01/12/2020,0,0
RO-01562,02/12/2020,0,0
RO-01575,02/12/2020,0,0
RO-01545,03/12/2020,0,0
RO-01593,03/12/2020,0,0
RO-01602,03/12/2020,0,0
RO-01622,07/12/2020,0,0
RO-01590,08/12/2020,0,0
RO-01582,09/12/2020,5,0
RO-01586,09/12/2020,0,0
RO-01583,10/12/2020,0,0
RO-01591,10/12/2020,0,1
RO-01600,10/12/2020,0,0
RO-01623,10/12/2020,0,0
RO-01584,11/12/2020,0,0
RO-01630,14/12/2020,0,0
RO-01587,15/12/2020,3,1
RO-01592,15/12/2020,0,0
RO-01629,15/12/2020,0,0
RO-01594,16/12/2020,0,0
RO-01597,16/12/2020,0,0
RO-01601,16/12/2020,0,0
RO-01624,16/12/2020,0,0
RO-01573,17/12/2020,0,2
RO-01585,17/12/2020,0,0
RO-01631,17/12/2020,0,0
RO-01595,18/12/2020,0,0
RO-01599,18/12/2020,0,0
RO-01596,21/12/2020,0,0
ROID,RO Date,Observer,Frontex representative on board
RO-01633,21/12/2020,0,0
RO-01634,22/12/2020,0,0
RO-01588,23/12/2020,3,0
RO-01603,28/12/2020,0,0
RO-01589,29/12/2020,3,0
