"",,,,Number of TCNs
Date of Departure,Operation ID,MS,OMS/PMS/LMS,
"",,,,(accepted)
08/10/2020,RO-01559,Italy,OMS,40
12/10/2020,RO-01560,Italy,OMS,39
13/10/2020,RO-01512,France,OMS,25
13/10/2020,RO-01516,Austria,OMS,5
13/10/2020,RO-01516,Greece,PMS,24
13/10/2020,RO-01565,Italy,OMS,37
15/10/2020,RO-01496,Germany,OMS,48
15/10/2020,RO-01564,Italy,OMS,40
19/10/2020,RO-01568,Italy,OMS,33
20/10/2020,RO-01513,France,OMS,25
20/10/2020,RO-01571,Italy,OMS,40
21/10/2020,RO-01563,Germany,OMS,51
22/10/2020,RO-01572,Italy,OMS,32
26/10/2020,RO-01576,Italy,OMS,38
27/10/2020,RO-01514,France,OMS,24
27/10/2020,RO-01523,Germany,OMS,10
27/10/2020,VRD-2020-006,France,OMS,108
28/10/2020,RO-01393,Norway,OMS,5
29/10/2020,RO-01570,Germany,OMS,14
29/10/2020,RO-01570,Italy,PMS,4
29/10/2020,RO-01578,Italy,OMS,36
03/11/2020,RO-01524,France,OMS,33
03/11/2020,RO-01525,Germany,OMS,15
03/11/2020,RO-01525,Iceland,PMS,1
03/11/2020,RO-01525,Malta,PMS,2
04/11/2020,RO-01556,Germany,OMS,9
05/11/2020,RO-01526,Austria,OMS,12
05/11/2020,RO-01526,France,PMS,4
05/11/2020,RO-01526,Germany,PMS,18
05/11/2020,VRD-2020-007,France,OMS,101
09/11/2020,RO-01548,Germany,OMS,15
10/11/2020,RO-01528,France,OMS,21
10/11/2020,RO-01530,Germany,OMS,46
10/11/2020,RO-01530,Italy,PMS,4
10/11/2020,RO-01577,Spain,OMS,22
11/11/2020,RO-01529,Germany,OMS,20
11/11/2020,RO-01566,Finland,OMS,5
12/11/2020,RO-01547,Austria,PMS,25
12/11/2020,RO-01547,Bulgaria,PMS,1
12/11/2020,RO-01547,Germany,OMS,2
12/11/2020,RO-01547,Hungary,PMS,2
12/11/2020,RO-01547,Romania,PMS,1
12/11/2020,RO-01547,Sweden,PMS,1
12/11/2020,RO-01558,Germany,OMS,34
12/11/2020,RO-01558,Iceland,PMS,6
17/11/2020,RO-01532,France,OMS,17
17/11/2020,RO-01552,France,PMS,5
17/11/2020,RO-01552,Germany,OMS,30
17/11/2020,RO-01561,Germany,OMS,6
17/11/2020,RO-01561,Romania,PMS,1
18/11/2020,RO-01527,Germany,OMS,19
18/11/2020,RO-01527,Norway,PMS,1
19/11/2020,RO-01533,Germany,OMS,56
23/11/2020,RO-01574,Germany,OMS,64
24/11/2020,RO-01511,Germany,OMS,31
24/11/2020,RO-01537,France,OMS,26
26/11/2020,RO-01535,France,PMS,4
26/11/2020,RO-01535,Germany,OMS,31
26/11/2020,RO-01535,Italy,PMS,5
26/11/2020,RO-01536,Germany,OMS,31
01/12/2020,RO-01542,Germany,OMS,56
01/12/2020,RO-01580,France,OMS,33
01/12/2020,RO-01598,Italy,OMS,30
02/12/2020,RO-01562,Germany,OMS,39
02/12/2020,RO-01575,Bulgaria,PMS,1
"",,,,Number of TCNs
Date of Departure,Operation ID,MS,OMS/PMS/LMS,
"",,,,(accepted)
02/12/2020,RO-01575,Germany,OMS,21
03/12/2020,RO-01545,Austria,OMS,20
03/12/2020,RO-01593,Spain,OMS,40
03/12/2020,RO-01602,Italy,OMS,29
07/12/2020,RO-01622,Italy,OMS,29
08/12/2020,RO-01590,Germany,OMS,31
09/12/2020,RO-01582,Belgium,PMS,1
09/12/2020,RO-01582,France,OMS,22
09/12/2020,RO-01582,The Netherlands,PMS,2
09/12/2020,RO-01586,Germany,OMS,21
10/12/2020,RO-01583,Germany,OMS,61
10/12/2020,RO-01591,Austria,PMS,17
10/12/2020,RO-01591,Germany,OMS,24
10/12/2020,RO-01591,Poland,PMS,1
10/12/2020,RO-01591,Slovakia,PMS,1
10/12/2020,RO-01600,Germany,OMS,28
10/12/2020,RO-01623,Italy,OMS,25
11/12/2020,RO-01584,Germany,OMS,49
14/12/2020,RO-01630,Italy,OMS,28
15/12/2020,RO-01587,France,OMS,30
15/12/2020,RO-01592,Austria,PMS,10
15/12/2020,RO-01592,Bulgaria,PMS,1
15/12/2020,RO-01592,Sweden,OMS,0
15/12/2020,RO-01629,Italy,OMS,32
16/12/2020,RO-01594,Germany,OMS,13
16/12/2020,RO-01597,Germany,OMS,30
16/12/2020,RO-01601,Spain,OMS,93
16/12/2020,RO-01624,France,OMS,12
17/12/2020,RO-01573,Czech Republic,PMS,8
17/12/2020,RO-01573,Poland,OMS,14
17/12/2020,RO-01573,The Netherlands,PMS,2
17/12/2020,RO-01585,Germany,OMS,26
17/12/2020,RO-01585,Italy,PMS,3
17/12/2020,RO-01631,Italy,OMS,13
18/12/2020,RO-01595,Germany,OMS,35
18/12/2020,RO-01599,The Netherlands,OMS,8
21/12/2020,RO-01596,Germany,OMS,2
21/12/2020,RO-01633,Italy,OMS,12
22/12/2020,RO-01634,Italy,OMS,17
23/12/2020,RO-01588,France,OMS,26
28/12/2020,RO-01603,Romania,OMS,25
29/12/2020,RO-01589,France,OMS,22
