RO TitleRO Date,MSPMS/OMS,Escort LeadersEscorts,"Monitors from PoolMonitors national(MS)",,,,
RO-01210,13/02/2020,Austria,OMS,1,15,1,0
RO-01350,17/02/2020,Spain,OMS,1,76,2,0
RO-01369,17/02/2020,Italy,OMS,1,34,0,0
RO-01294,18/02/2020,Germany,OMS,1,47,0,2
RO-01304,18/02/2020,Germany,OMS,1,42,0,1
RO-01337,18/02/2020,France,OMS,0,47,1,1
RO-01337,18/02/2020,Belgium,PMS,0,0,0,0
RO-01205,19/02/2020,Austria,OMS,1,50,1,0
RO-01205,19/02/2020,Hungary,PMS,1,2,0,0
RO-01205,19/02/2020,Luxembourg,PMS,2,14,1,0
RO-01205,19/02/2020,Sweden,PMS,1,9,0,0
RO-01205,19/02/2020,Sweden,PMS,0,6,0,0
RO-01205,19/02/2020,Hungary,PMS,0,2,0,0
RO-01322,19/02/2020,Germany,OMS,1,57,0,2
RO-01370,24/02/2020,Italy,OMS,2,37,0,0
RO-01338,25/02/2020,France,OMS,1,44,0,1
RO-01338,25/02/2020,Belgium,PMS,0,0,0,0
RO-01354,25/02/2020,Spain,OMS,1,62,0,0
RO-01233,26/02/2020,Germany,OMS,1,103,0,2
RO-01233,26/02/2020,Poland,PMS,1,3,0,0
RO-01289,26/02/2020,Hungary,OMS,1,16,1,0
RO-01289,26/02/2020,Austria,PMS,1,23,1,0
RO-01289,26/02/2020,Bulgaria,PMS,1,2,0,0
RO-01298,27/02/2020,Germany,OMS,1,65,0,1
RO-01363,27/02/2020,France,OMS,1,27,0,0
RO-01351,02/03/2020,Spain,OMS,0,38,0,0
RO-01180,03/03/2020,Germany,OMS,1,91,0,2
RO-01180,03/03/2020,Austria,PMS,1,22,1,0
RO-01180,03/03/2020,Sweden,PMS,1,7,0,0
RO-01281,03/03/2020,Germany,OMS,3,30,3,1
RO-01342,03/03/2020,France,OMS,1,47,0,1
RO-01342,03/03/2020,Luxembourg,PMS,0,0,0,0
RO-01220,04/03/2020,Sweden,OMS,2,58,1,0
RO-01220,04/03/2020,Bulgaria,PMS,1,2,0,0
RO-01195,05/03/2020,Germany,OMS,1,38,0,1
RO-01195,05/03/2020,Italy,PMS,0,0,0,0
RO-01195,05/03/2020,France,PMS,0,0,0,0
RO-01305,05/03/2020,Germany,OMS,1,31,0,1
RO-01365,05/03/2020,Germany,OMS,1,54,0,0
RO-01314,10/03/2020,Germany,OMS,1,46,0,1
RO-01314,10/03/2020,Finland,PMS,1,4,0,0
RO-01343,10/03/2020,France,OMS,1,46,0,1
RO-01343,10/03/2020,Belgium,PMS,0,0,0,0
RO-01212,11/03/2020,Austria,OMS,1,18,1,0
RO-01347,11/03/2020,Germany,OMS,1,93,0,1
RO-01357,18/03/2020,Germany,OMS,1,26,0,0
RO-01315,24/03/2020,Germany,OMS,1,19,0,0
RO-01211,07/05/2020,Austria,OMS,1,24,1,0
RO-01326,26/05/2020,Germany,OMS,1,33,0,1
RO-01405,04/06/2020,Germany,OMS,1,39,0,1
RO-01421,10/06/2020,Germany,OMS,1,39,0,1
RO-01421,10/06/2020,Greece,PMS,0,19,2,0
RO-01306,15/06/2020,Germany,OMS,1,41,0,1
RO-01425,15/06/2020,Germany,OMS,1,40,0,0
RO-01430,16/06/2020,France,OMS,0,42,0,0
RO-01401,18/06/2020,Austria,OMS,1,35,1,0
RO-01328,23/06/2020,Germany,OMS,1,39,0,1
RO-01429,30/06/2020,France,OMS,2,39,0,0
RO-01436,02/07/2020,Germany,OMS,1,59,0,1
RO-01436,02/07/2020,Sweden,PMS,1,9,0,0
RO-01437,08/07/2020,Germany,OMS,1,58,0,1
RO-01437,08/07/2020,Iceland,PMS,1,4,0,0
RO-01437,08/07/2020,Sweden,PMS,1,10,0,0
RO-01186,14/07/2020,Germany,OMS,1,74,0,1
RO-01186,14/07/2020,Greece,PMS,1,16,0,0
RO-01434,15/07/2020,Germany,OMS,1,57,0,1
RO-01420,16/07/2020,Austria,OMS,1,51,1,0
RO-01442,16/07/2020,France,OMS,1,33,0,0
RO-01456,16/07/2020,Italy,OMS,2,52,0,0
RO-01463,16/07/2020,Slovenia,OMS,1,2,0,0
RO-01409,20/07/2020,Germany,OMS,1,47,0,1
RO-01426,22/07/2020,Germany,OMS,1,68,0,1
RO-01446,22/07/2020,Germany,OMS,1,43,0,1
RO-01464,22/07/2020,Finland,OMS,1,11,0,0
RO-01461,23/07/2020,Italy,OMS,1,49,0,0
RO-01462,24/07/2020,France,OMS,1,46,0,0
RO-01467,27/07/2020,Italy,OMS,2,49,0,0
RO-01428,28/07/2020,Germany,OMS,1,65,0,1
RO-01435,30/07/2020,Germany,OMS,1,56,0,1
RO-01465,30/07/2020,France,OMS,1,32,0,0
RO-01472,30/07/2020,Italy,OMS,2,43,0,0
RO-01474,03/08/2020,Italy,OMS,2,48,0,0
RO-01460,04/08/2020,Germany,OMS,1,48,0,1
RO-01460,04/08/2020,Sweden,PMS,1,4,0,0
RO-01460,04/08/2020,Netherlands,PMS,1,3,0,0
RO-01460,04/08/2020,Italy,PMS,2,12,0,0
RO-01475,06/08/2020,Italy,OMS,2,45,0,0
RO-01481,06/08/2020,Finland,OMS,1,10,0,0
RO-01468,07/08/2020,Italy,OMS,2,90,0,0
RO-01480,10/08/2020,Italy,OMS,2,91,0,0
RO-01457,11/08/2020,Germany,OMS,1,42,0,0
RO-01469,12/08/2020,Germany,OMS,1,46,0,0
RO-01470,12/08/2020,France,OMS,1,38,0,0
RO-01484,13/08/2020,Italy,OMS,3,88,0,0
RO-01414,17/08/2020,Germany,OMS,1,59,0,1
RO-01489,17/08/2020,Italy,OMS,2,94,0,0
RO-01283,18/08/2020,Germany,OMS,1,122,0,0
RO-01283,18/08/2020,Austria,PMS,1,15,1,0
RO-01283,18/08/2020,Poland,PMS,1,3,0,0
RO-01415,19/08/2020,Germany,OMS,1,69,0,1
RO-01471,19/08/2020,France,OMS,1,39,0,0
RO-01438,20/08/2020,Germany,OMS,2,19,0,1
RO-01438,20/08/2020,Netherlands,PMS,0,0,0,0
RO-01482,20/08/2020,Finland,OMS,1,9,0,0
RO-01490,20/08/2020,Italy,OMS,2,88,0,0
RO-01495,24/08/2020,Italy,OMS,2,87,0,0
RO-01439,25/08/2020,Germany,OMS,1,75,0,1
RO-01466,26/08/2020,Germany,OMS,1,57,0,1
RO-01466,26/08/2020,Netherlands,PMS,1,3,0,0
RO-01485,26/08/2020,France,OMS,1,40,0,0
RO-01443,27/08/2020,Germany,OMS,1,31,0,0
RO-01494,27/08/2020,Italy,OMS,2,91,0,0
RO-01515,31/08/2020,Italy,OMS,2,83,0,0
RO-01491,01/09/2020,Germany,OMS,1,65,0,1
RO-01444,02/09/2020,Germany,OMS,1,71,0,1
RO-01478,02/09/2020,Germany,OMS,1,45,0,1
RO-01486,02/09/2020,France,OMS,1,43,0,0
RO-01518,03/09/2020,Italy,OMS,1,66,0,0
RO-01284,07/09/2020,Germany,OMS,1,95,0,1
RO-01517,07/09/2020,Italy,OMS,1,55,0,0
RO-01441,10/09/2020,Germany,OMS,1,18,0,1
RO-01441,10/09/2020,Greece,PMS,0,0,0,0
RO-01487,10/09/2020,France,OMS,1,39,0,0
RO-01519,10/09/2020,Italy,OMS,2,88,0,0
RO-01520,14/09/2020,Italy,OMS,2,91,0,0
RO-01492,15/09/2020,France,OMS,1,34,0,1
RO-01448,17/09/2020,Austria,OMS,1,36,1,0
RO-01448,17/09/2020,Greece,PMS,1,29,1,0
RO-01522,17/09/2020,Italy,OMS,3,89,0,0
RO-01546,21/09/2020,Italy,OMS,2,91,0,0
RO-01508,24/09/2020,Germany,OMS,1,74,0,1
RO-01549,24/09/2020,France,OMS,1,58,0,0
RO-01549,24/09/2020,Spain,PMS,1,4,0,0
RO-01551,24/09/2020,Italy,OMS,1,86,0,0
RO-01544,25/09/2020,Italy,OMS,3,54,1,0
RO-01479,28/09/2020,Germany,OMS,1,78,0,1
RO-01479,28/09/2020,Sweden,PMS,1,9,0,0
RO-01521,28/09/2020,Germany,OMS,1,66,0,1
RO-01553,28/09/2020,Italy,OMS,2,96,0,0
RO-01493,29/09/2020,France,OMS,1,42,0,1
RO-01454,30/09/2020,Germany,OMS,1,42,0,1
RO-01454,30/09/2020,Netherlands,PMS,1,2,0,0
RO-01458,30/09/2020,Germany,OMS,1,18,0,1
RO-01458,30/09/2020,Italy,PMS,0,0,0,0
RO-01458,30/09/2020,Spain,PMS,0,0,0,0
RO-01509,30/09/2020,Germany,OMS,1,91,0,0
RO-01555,01/10/2020,Italy,OMS,2,96,0,0
RO-01557,05/10/2020,Italy,OMS,2,96,0,0
RO-01497,06/10/2020,Germany,OMS,1,40,2,2
RO-01497,06/10/2020,Iceland,PMS,1,8,1,0
RO-01510,06/10/2020,France,OMS,1,42,0,1
RO-01498,07/10/2020,Germany,OMS,1,68,0,1
RO-01543,07/10/2020,Germany,OMS,1,48,0,0
RO-01285,08/10/2020,Germany,OMS,1,107,0,1
RO-01285,08/10/2020,Poland,PMS,1,1,0,0
RO-01559,08/10/2020,Italy,OMS,97,0,0,0
RO-01560,12/10/2020,Italy,OMS,1,90,0,0
RO-01512,13/10/2020,France,OMS,1,46,0,1
RO-01565,13/10/2020,Italy,OMS,3,89,0,0
RO-01516,14/10/2020,Austria,OMS,1,27,1,0
RO-01516,14/10/2020,Greece,PMS,1,54,1,0
RO-01496,15/10/2020,Germany,OMS,1,18,0,1
RO-01564,15/10/2020,Italy,OMS,2,95,0,0
RO-01568,19/10/2020,Italy,OMS,2,106,0,0
RO-01513,20/10/2020,France,OMS,1,46,0,1
RO-01571,20/10/2020,Italy,OMS,2,91,0,0
RO-01563,21/10/2020,Germany,OMS,1,53,0,0
RO-01572,22/10/2020,Italy,OMS,2,83,0,0
RO-01576,26/10/2020,Italy,OMS,3,95,0,0
RO-01514,27/10/2020,France,OMS,1,46,0,1
RO-01523,27/10/2020,Germany,OMS,1,55,0,1
RO-01393,28/10/2020,Norway,OMS,1,12,0,0
RO-01570,29/10/2020,Germany,OMS,1,42,0,1
RO-01570,29/10/2020,Italy,PMS,2,12,0,0
RO-01578,29/10/2020,Italy,OMS,2,100,0,0
RO-01524,03/11/2020,France,OMS,1,45,0,1
RO-01525,03/11/2020,Germany,OMS,1,46,0,0
RO-01525,03/11/2020,Iceland,PMS,1,2,0,0
RO-01525,03/11/2020,Malta,PMS,1,4,0,0
RO-01556,04/11/2020,Germany,OMS,1,44,0,1
RO-01526,05/11/2020,Austria,OMS,1,32,1,0
RO-01526,05/11/2020,Germany,PMS,1,26,0,0
RO-01526,05/11/2020,France,PMS,9,0,0,0
RO-01548,09/11/2020,Germany,OMS,1,54,0,0
RO-01528,10/11/2020,France,OMS,1,45,0,1
RO-01530,10/11/2020,Germany,OMS,1,18,0,1
RO-01530,10/11/2020,Italy,PMS,0,0,0,0
RO-01577,10/11/2020,Spain,OMS,1,44,0,0
RO-01529,11/11/2020,Germany,OMS,1,66,0,0
RO-01566,11/11/2020,Finland,OMS,1,11,1,0
RO-01547,12/11/2020,Germany,OMS,1,26,0,1
RO-01547,12/11/2020,Austria,PMS,1,61,1,0
RO-01547,12/11/2020,Bulgaria,PMS,1,2,0,0
RO-01547,12/11/2020,Sweden,PMS,1,2,0,0
RO-01547,12/11/2020,Hungary,PMS,1,4,0,0
RO-01547,12/11/2020,Romania,PMS,1,2,0,0
RO-01558,12/11/2020,Germany,OMS,1,60,0,0
RO-01558,12/11/2020,Iceland,PMS,1,8,1,0
RO-01532,17/11/2020,France,OMS,1,47,0,1
RO-01552,17/11/2020,Germany,OMS,1,58,0,1
RO-01552,17/11/2020,France,PMS,1,9,0,0
RO-01561,17/11/2020,Germany,OMS,1,31,0,1
RO-01561,17/11/2020,Romania,PMS,1,2,0,0
RO-01527,18/11/2020,Germany,OMS,1,92,0,1
RO-01527,18/11/2020,Norway,PMS,1,2,0,0
RO-01533,19/11/2020,Germany,OMS,1,50,0,1
RO-01574,23/11/2020,Germany,OMS,1,75,0,1
RO-01511,24/11/2020,Germany,OMS,1,85,0,1
RO-01537,24/11/2020,France,OMS,1,47,0,1
RO-01535,26/11/2020,Germany,OMS,2,18,0,1
RO-01535,26/11/2020,Italy,PMS,0,0,0,0
RO-01535,26/11/2020,France,PMS,0,0,0,0
RO-01536,26/11/2020,Germany,OMS,1,58,0,1
RO-01542,01/12/2020,Germany,OMS,1,54,0,1
RO-01580,01/12/2020,France,OMS,1,47,0,1
RO-01598,01/12/2020,Italy,OMS,1,105,0,0
RO-01562,02/12/2020,Germany,OMS,1,92,0,1
RO-01575,02/12/2020,Germany,OMS,1,74,0,0
RO-01575,02/12/2020,Bulgaria,PMS,1,2,0,0
RO-01545,03/12/2020,Austria,OMS,1,50,1,0
RO-01593,03/12/2020,Spain,OMS,1,63,2,0
RO-01602,03/12/2020,Italy,OMS,1,94,0,0
RO-01622,07/12/2020,Italy,OMS,2,95,0,0
RO-01590,08/12/2020,Germany,OMS,1,48,0,1
RO-01582,09/12/2020,France,OMS,1,47,0,1
RO-01582,09/12/2020,Netherlands,PMS,0,0,0,0
RO-01582,09/12/2020,Belgium,PMS,0,0,0,0
RO-01586,09/12/2020,Germany,OMS,1,66,0,1
RO-01583,10/12/2020,Germany,OMS,1,89,0,1
RO-01591,10/12/2020,Germany,OMS,1,89,0,1
RO-01591,10/12/2020,Poland,PMS,1,3,0,0
RO-01591,10/12/2020,Austria,PMS,1,42,1,0
RO-01591,10/12/2020,Slovakia,PMS,1,5,1,0
RO-01600,10/12/2020,Germany,OMS,1,37,0,0
RO-01623,10/12/2020,Italy,OMS,1,102,0,0
RO-01584,11/12/2020,Germany,OMS,1,66,0,1
RO-01630,14/12/2020,Italy,OMS,2,79,0,0
RO-01587,15/12/2020,France,OMS,1,48,0,1
RO-01592,15/12/2020,Sweden,OMS,0,0,0,0
RO-01592,15/12/2020,Austria,PMS,1,23,1,0
RO-01592,15/12/2020,Bulgaria,PMS,1,2,0,0
RO-01629,15/12/2020,Italy,OMS,2,77,1,0
RO-01594,16/12/2020,Germany,OMS,1,52,0,1
RO-01597,16/12/2020,Germany,OMS,1,106,0,0
RO-01601,16/12/2020,Spain,OMS,1,124,2,0
RO-01624,16/12/2020,France,OMS,1,33,0,0
RO-01573,17/12/2020,Poland,OMS,3,42,1,0
RO-01573,17/12/2020,Czech Republic,PMS,1,24,0,0
RO-01573,17/12/2020,Netherlands,PMS,1,4,0,0
RO-01585,17/12/2020,Germany,OMS,2,19,0,1
RO-01585,17/12/2020,Italy,PMS,0,0,0,0
RO-01631,17/12/2020,Italy,OMS,2,68,0,0
RO-01595,18/12/2020,Germany,OMS,1,87,0,0
RO-01599,18/12/2020,Netherlands,OMS,1,38,2,0
RO-01596,21/12/2020,Germany,OMS,1,12,0,1
RO-01633,21/12/2020,Italy,OMS,2,48,0,0
RO-01634,22/12/2020,Italy,OMS,2,56,0,0
RO-01588,23/12/2020,France,OMS,1,48,0,1
RO-01603,28/12/2020,Romania,OMS,1,47,1,0
RO-01589,29/12/2020,France,OMS,1,48,0,1
