Date ROID,,TOTAL PAID
05/11/2020 VRD-2020-007,,"€ 130,458.50"
09/11/2020 RO-01548,,"€ 206,342.44"
10/11/2020 RO-01528,,"€ 47,307.55"
10/11/2020 RO-01530,,"€ 126,922.31"
10/11/2020 RO-01577,,"€ 96,191.49"
11/11/2020 RO-01529,,"€ 90,494.94"
11/11/2020 RO-01566,,"€ 98,776.99"
12/11/2020 RO-01547,,"€ 410,095.63"
12/11/2020 RO-01558,,"€ 119,221.33"
17/11/2020 RO-01532,,"€ 47,518.68"
17/11/2020 RO-01552,,"€ 84,285.44"
17/11/2020 RO-01561,,"€ 141,014.55"
18/11/2020 RO-01527,,"€ 166,435.34"
19/11/2020 RO-01533,,"€ 139,438.40"
23/11/2020 RO-01574,,"€ 86,765.45"
24/11/2020 RO-01511,,"€ 84,113.81"
24/11/2020 RO-01537,,"€ 47,876.38"
26/11/2020 RO-01535,,"€ 136,955.11"
26/11/2020 RO-01536,,"€ 77,135.73"
01/12/2020 RO-01542,,"€ 124,886.03"
01/12/2020 RO-01580,,"€ 48,853.18"
01/12/2020 RO-01598,,"€ 41,195.88"
02/12/2020 RO-01562,,"€ 246,338.97"
02/12/2020 RO-01575,,"€ 143,411.61"
03/12/2020 RO-01545,,"€ 47,884.10"
03/12/2020 RO-01593,,"€ 146,944.90"
03/12/2020 RO-01602,,"€ 62,519.00"
07/12/2020 RO-01622,,"€ 58,559.80"
08/12/2020 RO-01590,,"€ 101,635.27"
09/12/2020 RO-01582,,"€ 50,818.91"
Date ROID,,TOTAL PAID
09/12/2020 RO-01586,,"€ 90,715.99"
10/12/2020 RO-01583,,"€ 97,113.04"
10/12/2020 RO-01591,,"€ 412,294.84"
10/12/2020 RO-01600,,"€ 52,937.16"
10/12/2020 RO-01623,,"€ 59,539.50"
11/12/2020 RO-01584,,"€ 88,007.11"
14/12/2020 RO-01630,,"€ 60,286.90"
15/12/2020 RO-01587,,"€ 48,985.78"
15/12/2020 RO-01592,,"€ 300,348.73"
15/12/2020 RO-01629,,"€ 41,208.00"
16/12/2020 RO-01594,,"€ 139,831.14"
16/12/2020 RO-01597,,"€ 346,730.16"
16/12/2020 RO-01601,,"€ 375,742.57"
16/12/2020 RO-01624,,"€ 97,461.64"
17/12/2020 RO-01573,,"€ 407,113.48"
17/12/2020 RO-01585,,"€ 128,244.19"
17/12/2020 RO-01631,,"€ 39,892.98"
18/12/2020 RO-01595,,"€ 95,272.35"
18/12/2020 RO-01599,,"€ 126,776.31"
21/12/2020 RO-01596,,"€ 161,900.48"
21/12/2020 RO-01633,,"€ 29,764.70"
22/12/2020 RO-01634,,"€ 41,006.00"
23/12/2020 RO-01588,,"€ 47,441.92"
28/12/2020 RO-01603,,"€ 351,136.20"
29/12/2020 RO-01589,,"€ 47,630.36"
